,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Wesley Matthews,1.1,4.1,1.5,2.0,0.6,4.2,2.7,1.3,0.9,0.4,0.6
Payton Pritchard,2.8,6.6,0.5,0.7,1.7,7.7,3.2,3.0,0.4,0.1,0.6
Oshae Brissett,1.3,2.9,1.0,1.5,0.4,3.9,3.0,0.5,0.5,0.0,0.2
Lamar Stevens,1.1,2.3,0.4,0.6,0.1,2.7,1.6,0.4,0.4,0.4,0.4
Luke Kornet,2.1,3.0,0.8,1.0,0.0,5.0,3.5,0.8,0.4,0.9,0.4
Neemias Queta,2.0,3.6,0.9,1.1,0.0,4.9,4.7,0.5,0.4,0.4,0.4
Brandon Miller,10.8,25.6,3.0,3.7,4.1,28.7,7.5,4.5,1.3,1.0,3.3
JT Thor,2.6,7.2,0.2,0.5,1.0,6.4,5.3,0.8,0.4,0.8,0.4
Bryce McGowens,3.5,8.3,1.7,2.4,1.6,10.4,3.8,2.1,0.5,0.2,1.1
Ish Smith,3.7,7.7,0.1,0.1,0.1,7.6,3.3,6.2,0.6,0.1,2.6
Nick Smith Jr.,5.4,12.3,0.3,0.4,3.0,14.1,2.7,1.8,0.3,0.7,1.6
Ayo Dosunmu,6.3,13.7,1.6,2.1,1.9,16.1,5.1,3.9,1.5,0.7,1.6
Patrick Williams,7.3,16.3,2.4,3.2,2.6,19.7,7.8,2.8,1.9,1.6,2.6
Jevon Carter,3.9,11.0,0.2,0.3,2.4,10.4,1.5,2.5,1.1,0.6,1.1
Dalen Terry,1.7,4.0,1.0,1.2,0.5,4.8,3.4,2.6,0.4,0.6,1.0
Grant Williams,2.9,7.0,0.8,1.2,1.8,8.4,3.6,1.6,0.4,0.7,1.0
Jaden Hardy,2.9,7.6,0.8,1.2,1.3,7.9,2.1,1.7,0.4,0.1,0.7
Josh Green,2.7,5.9,0.5,0.9,1.0,7.0,2.8,2.4,0.9,0.2,0.9
Tim Hardaway Jr.,6.0,14.4,2.3,2.7,3.2,17.5,3.7,1.8,0.4,0.0,0.8
Derrick Jones Jr.,3.8,7.9,1.3,1.8,1.4,10.3,3.8,1.0,0.9,0.9,0.9
Dwight Powell,1.6,2.3,1.4,1.9,0.0,4.8,3.8,1.6,0.5,0.4,0.5
Seth Curry,1.6,4.2,0.5,0.5,0.9,4.5,1.6,0.9,0.5,0.1,0.5
A.J. Lawson,1.8,3.7,0.6,0.9,0.6,4.8,1.4,0.6,0.6,0.1,0.5
Christian Braun,5.9,12.8,2.7,3.6,1.4,16.0,7.1,3.3,0.8,0.8,1.5
Zeke Nnaji,2.4,5.0,1.5,2.4,0.3,6.7,4.5,1.0,0.5,1.2,1.3
Justin Holiday,3.0,6.1,0.0,0.0,1.9,7.9,2.6,2.3,1.3,0.1,0.5
Peyton Watson,5.3,10.8,2.1,2.9,1.4,14.0,5.4,1.9,1.0,1.6,1.1
Reggie Jackson,9.5,20.4,1.9,2.6,2.9,23.7,4.3,8.8,1.2,0.4,2.9
Marvin Bagley III,4.1,7.0,1.9,2.3,0.0,10.2,4.6,1.0,0.2,0.6,1.2
Alec Burks,3.3,8.8,2.6,3.0,1.9,11.2,2.3,1.4,0.4,0.2,0.7
Marcus Sasser,2.6,5.6,0.6,0.7,1.1,7.0,1.6,2.4,0.6,0.2,0.8
Jaden Ivey,4.6,10.1,3.0,4.0,1.2,13.3,3.6,3.3,0.8,0.6,2.2
Isaiah Livers,1.8,5.1,0.5,0.8,1.0,5.0,2.2,1.1,0.6,0.1,0.7
Kevin Knox II,3.2,6.6,0.6,0.7,1.2,8.2,2.3,0.7,0.4,0.2,0.6
James Wiseman,2.7,4.0,0.8,1.3,0.0,6.3,4.2,0.7,0.1,0.7,0.9
Killian Hayes,3.0,7.6,0.9,1.4,0.6,7.6,2.9,4.6,1.0,0.5,1.3
Stanley Umude,1.3,2.9,1.4,1.5,0.9,5.0,1.9,0.5,0.3,0.3,0.7
Moses Moody,6.3,13.1,2.6,3.4,2.2,17.5,6.2,1.6,1.4,0.6,1.4
Kevon Looney,4.5,7.5,2.0,2.8,0.0,11.0,14.5,4.9,1.1,0.5,1.5
Andrew Wiggins,8.9,21.3,3.8,5.5,1.9,23.5,8.2,2.6,0.7,0.7,3.0
Jonathan Kuminga,9.4,18.8,5.3,7.6,1.3,25.5,8.2,3.1,1.1,0.7,2.9
Amen Thompson,4.1,9.6,2.2,3.6,0.5,10.9,6.8,3.8,1.5,0.4,2.4
Jock Landale,1.4,4.1,0.8,1.0,0.2,3.8,3.6,1.0,0.5,0.6,0.8
Aaron Holiday,5.0,11.5,1.3,1.4,2.6,13.9,3.9,3.4,1.1,0.2,1.6
Jae'Sean Tate,4.1,8.3,1.2,1.6,1.1,10.4,7.2,2.1,1.5,0.4,0.9
Jeff Green,4.5,8.2,3.8,4.6,0.7,13.4,4.0,1.5,0.3,0.9,1.4
Cam Whitmore,6.8,12.6,2.2,3.2,2.2,17.8,5.4,0.6,1.7,0.2,1.5
Andrew Nembhard,6.6,13.8,0.6,0.9,1.3,15.0,3.4,7.9,1.8,0.1,3.5
Isaiah Jackson,5.6,8.2,2.9,4.1,0.0,14.1,8.3,1.7,1.1,2.6,1.3
Jarace Walker,2.5,5.7,1.0,1.2,0.8,6.8,2.2,2.2,0.7,0.5,0.7
Jordan Nwora,4.4,8.8,1.1,1.2,1.3,11.2,3.7,1.7,0.7,0.1,1.5
Obi Toppin,9.1,15.7,2.3,3.0,2.9,23.3,7.9,2.9,1.0,1.1,1.5
Terance Mann,5.5,12.8,1.7,2.3,1.8,14.6,6.4,3.7,1.4,0.6,1.3
Bones Hyland,5.2,13.4,1.2,1.5,2.5,14.2,1.9,3.5,1.0,0.1,2.5
Daniel Theis,5.2,10.1,1.9,2.4,0.7,13.0,6.8,1.6,0.8,1.6,1.3
Amir Coffey,3.0,6.1,1.0,1.2,1.0,8.2,3.1,1.4,0.4,0.0,0.8
P.J. Tucker,0.8,2.5,0.4,0.4,0.7,2.7,5.7,1.1,1.2,0.4,0.5
Kobe Brown,1.8,4.6,0.1,0.2,0.9,4.7,2.9,1.2,0.5,0.2,0.3
Cam Reddish,2.3,6.0,1.1,1.3,0.9,6.7,2.5,1.4,1.2,0.2,0.9
Jarred Vanderbilt,1.2,3.2,0.3,0.6,0.1,2.7,4.4,1.0,0.7,0.2,0.6
Christian Wood,2.6,5.4,1.3,2.0,0.8,7.4,5.6,1.0,0.2,0.7,1.2
Jaxson Hayes,1.3,1.9,0.5,0.9,0.0,3.0,1.8,0.3,0.2,0.4,0.6
Max Christie,2.0,4.8,0.7,0.9,0.7,5.3,3.1,1.1,0.4,0.3,0.8
Xavier Tillman Sr.,4.6,11.6,0.8,2.1,0.8,10.7,9.2,2.7,2.1,1.8,1.7
John Konchar,2.3,6.2,0.6,0.8,1.2,6.4,7.8,2.7,1.4,1.4,0.9
Ziaire Williams,5.7,13.8,2.1,2.5,2.3,15.7,7.0,2.6,1.0,0.5,2.4
David Roddy,5.5,13.8,1.9,2.6,1.8,14.7,7.2,2.5,1.0,0.5,1.8
Santi Aldama,7.9,17.9,1.9,3.2,3.1,20.8,11.0,3.4,1.3,1.3,2.1
Bismack Biyombo,4.5,7.9,1.5,3.1,0.0,10.4,12.7,3.4,0.7,2.3,2.5
Jacob Gilyard,2.6,6.1,0.1,0.1,2.3,7.6,2.0,5.9,1.1,0.2,1.3
Josh Richardson,7.1,16.3,2.8,3.0,3.0,20.1,5.5,5.9,1.2,0.6,1.9
Thomas Bryant,4.0,7.2,1.7,2.0,0.0,9.7,7.1,1.2,0.6,0.5,1.5
Orlando Robinson,4.1,7.9,1.5,2.1,0.9,10.7,7.9,3.2,0.7,0.9,1.7
Haywood Highsmith,4.6,11.0,1.2,1.6,2.4,12.9,5.9,2.8,2.1,1.1,1.7
Jamal Cain,4.1,9.4,2.0,2.7,1.1,11.4,4.1,0.4,1.3,0.6,0.6
Nikola Jovic,4.5,9.5,1.6,2.7,2.5,13.3,9.6,4.7,1.1,0.7,1.6
Cameron Payne,4.2,9.2,1.7,1.9,2.1,12.2,2.4,4.9,0.7,0.1,1.5
MarJon Beauchamp,3.9,8.0,0.7,1.2,1.5,10.0,4.9,1.6,0.7,0.4,1.4
Pat Connaughton,3.9,9.1,0.8,1.1,2.3,10.8,6.9,3.7,0.9,0.3,1.2
AJ Green,2.3,5.0,0.2,0.2,1.9,6.8,1.6,1.2,0.0,0.1,0.0
Andre Jackson Jr.,1.9,3.8,0.4,0.4,0.8,4.9,3.6,2.0,0.6,0.1,0.9
Nickeil Alexander-Walker,4.8,11.4,0.9,1.2,2.8,13.1,3.6,4.8,1.8,1.2,1.9
Jordan McLaughlin,1.8,4.4,0.4,0.5,0.9,4.8,1.6,3.3,1.4,0.5,0.2
Kyle Anderson,5.2,11.2,2.9,4.1,0.2,13.5,7.4,7.8,1.6,1.4,2.9
Troy Brown Jr.,3.0,6.8,1.2,1.4,1.8,8.9,4.2,1.9,0.5,0.1,0.9
Shake Milton,3.4,8.6,2.3,2.8,0.8,10.0,2.8,2.6,0.9,0.3,1.7
Jordan Hawkins,6.8,17.6,2.8,3.3,4.2,20.7,5.6,2.8,0.6,0.2,1.5
Jeremiah Robinson-Earl,3.2,5.9,0.8,0.8,1.0,8.2,5.1,1.1,0.5,0.4,1.0
Dyson Daniels,4.7,10.8,1.5,2.3,1.4,12.3,7.7,5.4,2.7,0.7,1.8
Naji Marshall,5.6,12.1,3.1,3.8,1.9,16.2,7.7,4.3,1.4,0.4,2.2
Jose Alvarado,4.9,12.0,1.4,2.3,2.5,13.7,4.8,3.8,2.1,0.9,1.7
Quentin Grimes,2.5,6.1,0.3,0.5,1.8,7.0,1.7,1.1,0.7,0.1,0.5
Precious Achiuwa,2.8,6.1,0.8,1.4,0.5,6.9,5.2,1.5,0.6,0.5,1.1
Josh Hart,2.8,6.4,0.7,0.9,0.9,7.3,6.2,2.8,0.8,0.2,1.2
Malachi Flynn,1.6,4.1,0.6,0.7,0.8,4.7,1.9,2.1,0.5,0.2,1.0
Miles McBride,1.2,2.7,0.2,0.2,0.8,3.3,0.4,0.8,0.3,0.0,0.1
Luguentz Dort,3.7,8.1,1.8,2.2,1.8,11.1,3.9,1.4,0.9,0.8,0.9
Cason Wallace,2.6,5.1,0.5,0.6,1.1,6.9,2.2,1.5,0.6,0.5,0.5
Tre Mann,1.5,3.1,0.1,0.1,0.6,3.8,1.8,1.5,0.2,0.0,0.7
Isaiah Joe,3.1,6.8,0.8,0.9,2.2,9.1,2.2,1.1,0.6,0.3,0.6
Davis Bertans,0.8,2.0,1.2,1.2,0.8,3.4,0.8,0.7,0.2,0.2,0.1
Kenrich Williams,1.8,3.8,0.1,0.4,0.8,4.5,2.7,1.6,0.5,0.1,0.4
Aaron Wiggins,1.9,3.3,0.6,0.8,0.5,4.9,2.2,0.7,0.4,0.1,0.5
Jaylin Williams,1.2,3.1,0.5,0.5,0.7,3.5,3.2,1.4,0.4,0.2,0.4
Ousmane Dieng,1.6,3.7,0.5,0.6,0.8,4.6,1.8,1.0,0.1,0.0,0.4
Vasilije Micic,1.1,3.1,0.4,0.5,0.4,2.9,0.7,3.1,0.4,0.2,0.7
Anthony Black,3.9,7.9,1.3,2.0,1.0,10.1,4.9,3.6,1.3,0.7,2.1
