,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Payton Pritchard,2.7,6.5,0.4,0.6,1.6,7.3,3.1,3.0,0.5,0.1,0.6
Oshae Brissett,1.2,2.7,0.7,1.1,0.4,3.5,3.0,0.5,0.5,0.1,0.3
Lamar Stevens,1.1,2.0,0.2,0.3,0.2,2.5,1.5,0.5,0.4,0.3,0.4
Luke Kornet,2.2,3.1,0.7,0.8,0.0,5.1,3.7,0.8,0.5,0.9,0.4
Neemias Queta,2.0,3.5,0.9,1.2,0.0,4.9,4.8,0.5,0.5,0.3,0.4
Brandon Miller,5.5,13.0,1.6,1.9,2.1,14.7,3.8,2.2,0.7,0.5,1.7
JT Thor,1.2,3.1,0.1,0.3,0.5,3.0,2.4,0.4,0.2,0.4,0.2
Bryce McGowens,1.8,4.1,0.9,1.2,0.8,5.3,1.9,1.0,0.3,0.1,0.5
Ish Smith,1.9,3.9,0.1,0.1,0.1,3.9,1.7,3.3,0.3,0.1,1.4
Nick Smith Jr.,2.4,5.2,0.1,0.1,1.4,6.4,1.1,0.8,0.1,0.4,0.6
Ayo Dosunmu,3.2,6.9,0.8,1.0,1.0,8.1,2.5,1.9,0.8,0.3,0.8
Patrick Williams,3.8,8.3,1.2,1.6,1.3,10.0,4.0,1.5,0.9,0.8,1.2
Andre Drummond,2.9,5.6,1.5,2.7,0.0,7.3,8.6,0.5,1.2,0.6,1.1
Jevon Carter,2.0,5.6,0.1,0.1,1.2,5.3,0.8,1.3,0.6,0.3,0.5
Dalen Terry,0.9,2.1,0.4,0.6,0.2,2.4,1.8,1.3,0.2,0.3,0.5
Grant Williams,3.0,7.1,0.8,1.2,1.8,8.6,3.7,1.6,0.5,0.7,1.0
Jaden Hardy,2.9,7.6,0.8,1.1,1.3,7.8,2.1,1.6,0.4,0.1,0.8
Josh Green,2.6,5.8,0.6,0.9,1.0,6.9,2.8,2.5,0.9,0.2,0.9
Derrick Jones Jr.,3.7,7.8,1.4,1.9,1.4,10.3,3.8,1.0,1.0,0.9,0.9
Dwight Powell,1.6,2.3,1.5,2.0,0.0,4.8,3.6,1.5,0.5,0.4,0.4
Seth Curry,1.6,4.4,0.5,0.6,1.0,4.8,1.6,0.9,0.6,0.1,0.4
A.J. Lawson,1.8,3.7,0.7,0.9,0.6,4.9,1.4,0.6,0.6,0.1,0.5
Marvin Bagley III,4.1,7.0,1.9,2.3,0.0,10.2,4.6,1.0,0.2,0.6,1.2
Alec Burks,3.2,8.6,2.6,2.9,1.9,10.9,2.3,1.3,0.4,0.2,0.6
Marcus Sasser,2.7,5.6,0.6,0.7,1.2,7.2,1.6,2.3,0.6,0.2,0.8
Jaden Ivey,4.4,9.7,2.9,3.9,1.1,12.9,3.5,3.2,0.8,0.5,2.2
Isaiah Livers,1.8,5.3,0.6,0.9,0.9,5.1,2.2,1.0,0.6,0.2,0.8
Kevin Knox II,3.1,6.3,0.6,0.7,1.2,8.1,2.2,0.7,0.4,0.3,0.6
James Wiseman,2.8,4.2,0.8,1.3,0.0,6.5,4.2,0.6,0.2,0.7,1.0
Killian Hayes,3.1,7.7,0.9,1.4,0.6,7.8,2.8,4.3,1.0,0.5,1.1
Stanley Umude,1.3,2.9,1.4,1.5,0.9,5.0,1.9,0.5,0.3,0.3,0.7
Amen Thompson,2.1,4.9,1.1,1.9,0.3,5.5,3.6,1.9,0.7,0.1,1.1
Jock Landale,0.7,2.0,0.4,0.5,0.1,1.9,1.8,0.5,0.2,0.3,0.4
Aaron Holiday,2.6,5.8,0.5,0.6,1.3,7.0,1.9,1.8,0.5,0.1,0.8
Jae'Sean Tate,2.0,4.1,0.5,0.8,0.5,5.1,3.7,1.1,0.8,0.2,0.5
Jeff Green,2.2,4.1,1.9,2.4,0.4,6.7,2.0,0.7,0.2,0.5,0.7
Cam Whitmore,3.0,5.6,1.1,1.7,1.0,8.1,2.2,0.3,0.7,0.1,0.7
T.J. McConnell,3.3,6.1,1.0,1.3,0.0,7.6,2.7,5.0,1.0,0.1,1.2
Isaiah Jackson,2.9,4.3,1.4,2.0,0.0,7.1,4.3,0.9,0.6,1.2,0.6
Jarace Walker,1.2,2.8,0.5,0.6,0.4,3.4,1.1,1.1,0.3,0.2,0.3
Bennedict Mathurin,5.1,10.9,2.9,3.4,1.3,14.3,3.8,2.0,0.6,0.2,1.5
Jordan Nwora,2.1,4.2,0.6,0.6,0.6,5.4,1.6,0.9,0.4,0.1,0.8
Obi Toppin,4.5,7.9,1.1,1.5,1.3,11.5,4.0,1.4,0.5,0.6,0.7
Jalen Smith,3.9,6.0,1.3,1.8,1.1,10.2,5.2,1.0,0.3,0.3,0.9
Ben Sheppard,1.0,2.4,0.2,0.4,0.5,2.8,0.6,0.6,0.3,0.0,0.1
Terance Mann,2.6,6.4,0.9,1.1,0.8,6.9,3.2,1.9,0.7,0.3,0.6
Bones Hyland,2.6,6.7,0.6,0.8,1.2,7.1,0.9,1.8,0.5,0.1,1.2
Daniel Theis,2.6,5.2,0.9,1.2,0.4,6.6,3.4,0.7,0.4,0.8,0.6
Amir Coffey,1.3,2.9,0.6,0.7,0.5,3.8,1.6,0.7,0.2,0.0,0.4
P.J. Tucker,0.4,1.3,0.2,0.2,0.3,1.3,2.9,0.5,0.6,0.2,0.3
Kobe Brown,1.0,2.4,0.0,0.1,0.5,2.4,1.5,0.6,0.2,0.1,0.2
Cam Reddish,2.4,6.1,1.1,1.3,0.9,6.7,2.6,1.5,1.3,0.2,0.9
Jarred Vanderbilt,1.1,3.1,0.2,0.2,0.1,2.5,4.0,0.9,0.7,0.2,0.4
Christian Wood,2.5,5.3,1.3,2.0,0.8,7.2,5.7,1.0,0.2,0.7,1.2
Taurean Prince,3.5,8.3,0.6,0.8,2.2,9.9,2.8,1.9,0.9,0.5,1.0
Jaxson Hayes,1.2,1.9,0.5,0.9,0.0,2.9,1.8,0.3,0.2,0.3,0.5
Max Christie,1.9,4.8,0.5,0.7,0.7,5.0,2.9,0.9,0.4,0.3,0.8
Xavier Tillman Sr.,2.1,5.7,0.3,0.9,0.4,5.0,4.3,1.3,1.1,0.8,0.8
John Konchar,1.1,3.1,0.2,0.3,0.6,3.2,3.8,1.3,0.8,0.7,0.5
Ziaire Williams,2.7,6.8,1.1,1.3,1.1,7.6,3.5,1.4,0.5,0.3,1.2
Vince Williams Jr.,1.8,4.6,1.2,1.4,1.2,5.9,5.1,1.6,0.5,0.7,0.8
David Roddy,2.8,6.9,0.8,1.2,0.9,7.2,3.6,1.2,0.5,0.3,0.8
Luke Kennard,2.6,6.8,0.8,0.8,2.2,8.2,2.9,2.2,0.5,0.1,0.5
Santi Aldama,3.9,9.0,1.0,1.6,1.6,10.4,5.5,1.7,0.7,0.7,1.1
Jacob Gilyard,1.3,3.0,0.0,0.0,1.2,3.8,1.0,3.0,0.6,0.1,0.6
Josh Richardson,3.6,8.3,1.4,1.5,1.5,10.0,2.8,3.0,0.6,0.3,1.0
Kevin Love,3.2,7.1,1.9,2.4,1.8,10.1,6.9,2.6,0.4,0.2,0.7
Thomas Bryant,2.0,3.6,0.8,1.0,0.0,4.8,3.6,0.6,0.3,0.2,0.8
Orlando Robinson,2.1,3.9,0.7,1.1,0.5,5.3,3.9,1.6,0.3,0.5,0.9
Haywood Highsmith,2.1,5.2,0.7,0.9,1.0,6.0,2.9,1.4,1.1,0.6,0.9
Jamal Cain,2.1,4.7,1.0,1.4,0.6,5.7,2.1,0.2,0.6,0.3,0.3
Nikola Jovic,2.0,3.9,0.7,1.0,1.1,5.8,4.4,1.8,0.3,0.1,0.7
Cameron Payne,2.1,4.6,0.9,1.0,1.1,6.1,1.1,2.4,0.4,0.1,0.8
MarJon Beauchamp,2.0,4.0,0.4,0.6,0.8,5.2,2.5,0.8,0.3,0.2,0.7
Pat Connaughton,2.0,4.7,0.4,0.6,1.2,5.5,3.6,1.8,0.5,0.2,0.6
AJ Green,1.0,2.3,0.0,0.0,0.9,2.9,0.7,0.6,0.0,0.0,0.0
Andre Jackson Jr.,0.9,1.7,0.1,0.2,0.4,2.4,1.6,0.8,0.3,0.0,0.5
Nickeil Alexander-Walker,2.4,5.7,0.4,0.6,1.4,6.5,1.7,2.4,0.9,0.6,0.9
Jordan McLaughlin,0.7,1.9,0.2,0.3,0.4,2.1,0.8,1.5,0.7,0.3,0.1
Troy Brown Jr.,1.6,3.4,0.6,0.7,0.9,4.7,2.2,0.9,0.3,0.1,0.5
Shake Milton,1.7,4.5,1.2,1.5,0.4,5.1,1.4,1.4,0.5,0.1,0.9
Quentin Grimes,2.4,5.9,0.2,0.3,1.7,6.7,1.6,1.1,0.7,0.1,0.4
Precious Achiuwa,2.9,6.1,0.8,1.4,0.5,7.0,5.0,1.6,0.6,0.5,1.0
Josh Hart,2.9,6.5,0.7,0.9,0.9,7.5,6.2,2.8,0.8,0.2,1.1
Donte DiVincenzo,3.7,7.9,0.8,1.0,2.5,10.7,3.0,2.0,1.1,0.3,1.1
Malachi Flynn,1.7,4.2,0.5,0.7,0.8,4.8,2.0,2.2,0.5,0.2,1.0
Miles McBride,1.0,2.1,0.2,0.2,0.6,2.7,0.3,0.8,0.3,0.0,0.0
Cason Wallace,2.7,5.1,0.5,0.6,1.1,7.0,2.1,1.5,0.6,0.4,0.5
Isaiah Joe,3.1,6.9,0.8,1.0,2.2,9.1,2.2,1.0,0.6,0.4,0.6
Davis Bertans,0.8,2.0,1.2,1.2,0.8,3.4,0.8,0.7,0.2,0.2,0.1
Kenrich Williams,1.8,3.8,0.1,0.4,0.9,4.7,2.7,1.7,0.6,0.1,0.3
Aaron Wiggins,1.9,3.2,0.6,0.8,0.5,4.9,2.3,0.8,0.4,0.1,0.5
Jaylin Williams,1.2,3.1,0.5,0.5,0.7,3.5,3.2,1.3,0.3,0.2,0.3
Ousmane Dieng,1.5,3.3,0.6,0.7,0.8,4.3,1.6,0.9,0.1,0.0,0.3
Wendell Carter Jr.,2.8,6.7,1.4,2.0,1.0,8.1,6.4,1.8,0.3,0.5,1.2
Anthony Black,2.0,4.0,0.6,1.0,0.5,5.1,2.5,1.7,0.6,0.4,1.0
Caleb Houstan,1.5,3.5,0.5,0.6,1.3,4.9,1.6,0.6,0.3,0.0,0.3
Gary Harris,2.4,5.7,0.9,1.1,1.3,7.1,1.7,1.9,0.9,0.2,0.5
Drew Eubanks,2.4,4.0,1.2,1.6,0.1,6.0,4.3,1.0,0.3,0.9,1.1
Eric Gordon,5.1,10.9,0.7,1.0,2.7,13.6,2.1,2.4,1.0,0.6,1.3
Yuta Watanabe,1.3,3.9,0.4,0.6,1.0,4.1,1.8,0.4,0.3,0.3,0.6
Keita Bates-Diop,1.7,4.5,1.0,1.3,0.5,4.8,3.0,0.9,0.7,0.6,0.2
Bol Bol,1.4,1.8,0.2,0.3,0.3,3.2,1.9,0.4,0.1,0.4,0.5
Jordan Goodwin,2.0,5.5,0.7,0.8,0.7,5.5,3.6,2.3,0.6,0.2,0.8
Josh Okogie,1.7,4.3,1.9,2.5,0.5,5.7,3.0,1.4,0.9,0.5,0.7
Chimezie Metu,2.2,4.3,1.0,1.2,0.5,5.9,3.1,0.5,0.6,0.2,0.8
Jabari Walker,2.9,5.9,1.8,2.3,0.5,8.0,5.5,0.8,0.7,0.4,0.9
Skylar Mays,2.5,6.6,0.6,0.8,0.7,6.3,1.8,3.6,0.7,0.1,0.9
Toumani Camara,2.6,6.5,1.0,1.4,0.9,7.1,4.9,0.9,1.0,0.5,1.2
Kris Murray,1.1,2.9,0.2,0.3,0.5,2.9,1.8,0.6,0.7,0.2,0.3
Trey Lyles,2.6,5.4,0.7,1.1,1.6,7.6,4.9,1.3,0.1,0.4,0.7
Kevin Huerter,3.7,8.7,0.7,0.9,1.8,9.9,3.6,2.5,0.6,0.3,0.6
JaVale McGee,1.9,2.9,0.6,1.1,0.0,4.5,2.8,0.5,0.2,0.6,1.0
Davion Mitchell,1.4,3.9,0.4,0.5,0.5,3.7,0.9,1.9,0.2,0.1,0.6
Chris Duarte,1.4,3.8,0.5,0.7,0.7,4.0,1.8,0.9,0.6,0.1,0.6
Sasha Vezenkov,2.1,4.8,0.2,0.3,1.1,5.4,2.6,0.5,0.5,0.2,0.3
Keon Ellis,1.4,3.2,0.5,0.7,1.0,4.3,1.4,1.4,0.6,0.5,0.5
Gary Trent Jr.,4.2,10.3,0.9,1.3,2.2,11.3,2.3,1.6,0.9,0.1,0.6
Chris Boucher,2.2,4.5,1.4,1.8,0.7,6.6,4.0,0.4,0.3,0.5,0.4
Kris Dunn,2.0,4.7,0.4,0.6,0.5,4.9,2.8,3.8,0.8,0.3,1.2
Ochai Agbaji,2.5,5.5,0.3,0.4,1.1,6.3,2.5,1.0,0.6,0.5,0.8
Keyonte George,3.4,9.3,2.3,2.9,1.7,10.8,3.0,4.5,0.5,0.1,2.1
Talen Horton-Tucker,4.1,10.0,1.6,2.0,1.2,11.0,2.5,4.2,1.1,0.4,1.7
Omer Yurtseven,1.7,3.5,0.3,0.5,0.1,3.8,4.5,0.6,0.2,0.5,1.0
Taylor Hendricks,1.9,5.0,0.5,0.7,0.9,5.3,2.5,0.5,0.7,0.5,0.7
Delon Wright,1.4,3.9,1.2,1.4,0.4,4.5,2.4,3.5,1.6,0.2,0.7
Bilal Coulibaly,3.2,6.5,1.1,1.7,1.1,8.5,4.2,1.8,0.9,0.7,1.5
Danilo Gallinari,2.2,5.0,1.8,2.2,0.8,7.0,2.9,1.2,0.2,0.1,0.5
Mike Muscala,1.4,3.9,0.7,0.9,0.6,4.1,3.2,1.0,0.2,0.3,0.6
Landry Shamet,2.8,6.2,0.3,0.7,1.3,7.3,1.3,1.4,0.6,0.2,0.6
Johnny Davis,1.2,2.7,0.2,0.3,0.1,2.6,1.1,0.3,0.4,0.1,0.3
Corey Kispert,4.1,8.6,1.5,2.0,1.9,11.6,2.1,1.4,0.3,0.2,1.0
Jared Butler,1.6,2.9,0.7,0.9,0.6,4.6,0.6,1.8,0.5,0.1,0.6
Eugene Omoruyi,1.7,2.9,0.8,1.1,0.3,4.5,1.5,0.6,0.5,0.1,0.5
Anthony Gill,0.9,1.9,0.5,0.7,0.0,2.4,1.4,0.4,0.1,0.3,0.4
Ryan Rollins,1.3,2.5,1.3,1.7,0.2,4.1,1.1,1.1,0.8,0.3,0.7
