,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Al Horford,2.9,6.0,0.4,0.4,1.4,7.5,7.0,2.9,0.4,1.0,0.9
Anthony Black,4.2,8.2,1.4,2.4,1.0,11.0,5.6,3.6,1.2,0.8,2.2
Ayo Dosunmu,6.0,13.0,1.6,2.2,1.8,15.6,4.8,3.8,1.6,0.6,1.6
Bennedict Mathurin,10.0,21.8,5.6,6.6,2.6,28.0,7.8,3.8,1.2,0.4,3.0
Bilal Coulibaly,6.4,12.4,2.2,3.4,2.2,17.0,8.2,3.6,1.8,1.2,3.0
Craig Porter Jr.,6.0,12.4,2.2,3.2,0.6,15.0,5.4,6.6,1.4,1.0,2.0
Daniel Theis,5.6,10.8,2.0,2.8,1.0,14.0,6.8,1.4,0.8,1.6,1.4
Dante Exum,7.4,12.8,2.0,2.6,1.8,18.6,5.8,5.8,1.2,0.4,1.8
Dyson Daniels,4.6,11.0,1.4,2.2,1.4,11.8,7.8,5.2,2.6,0.6,2.0
Gary Harris,4.8,11.4,2.0,2.4,2.6,14.4,3.4,3.8,1.8,0.4,1.0
Gary Trent Jr.,8.4,20.8,1.8,2.8,4.4,23.0,4.8,3.4,1.6,0.2,1.2
Georges Niang,6.2,15.2,0.8,1.0,3.0,16.2,7.0,2.4,0.6,0.4,1.8
Isaac Okoro,6.2,12.6,3.2,4.6,1.8,17.6,6.8,4.2,1.8,1.0,1.6
Jabari Walker,5.8,12.0,3.6,4.6,1.0,16.4,11.0,1.4,1.4,0.8,1.8
Jaden Ivey,8.8,19.4,6.0,7.8,2.2,26.0,7.2,6.2,1.6,1.2,4.0
Jaden McDaniels,8.8,16.6,1.4,2.0,2.2,21.0,4.4,2.2,1.6,1.4,2.0
Jeremy Sochan,4.2,9.8,1.5,2.0,0.9,10.8,5.6,4.1,0.6,0.3,2.1
Jordan Hawkins,6.8,17.8,3.0,3.4,4.2,20.8,6.2,3.0,0.8,0.0,1.6
Josh Hart,6.0,13.0,1.2,1.6,2.0,15.0,12.2,5.6,1.8,0.4,2.2
Keita Bates-Diop,3.6,9.0,2.0,2.8,1.0,10.2,6.2,1.8,1.2,1.4,0.6
Kevin Love,6.2,14.2,3.4,4.4,3.6,19.4,13.2,5.2,0.6,0.4,1.4
Kevon Looney,4.4,7.6,1.8,2.6,0.0,10.6,15.0,5.2,1.2,0.6,1.6
Killian Hayes,6.8,16.2,2.0,3.2,1.4,17.0,5.8,8.4,2.0,1.0,2.4
Kris Dunn,4.4,9.4,0.8,1.2,1.0,10.6,5.4,7.6,1.2,0.4,2.6
Luke Kornet,2.4,3.2,0.7,0.8,0.0,5.6,3.6,0.8,0.4,0.9,0.4
Marcus Morris Sr.,2.3,4.9,0.5,0.6,1.0,6.2,2.6,0.8,0.3,0.3,0.3
Marcus Sasser,5.6,11.6,1.2,1.4,2.4,14.8,3.2,4.6,1.2,0.4,1.6
Marvin Bagley III,8.2,14.0,3.8,4.6,0.0,20.4,9.2,2.0,0.4,1.2,2.4
Moses Moody,6.0,12.4,2.6,3.4,2.0,16.4,6.4,1.8,1.4,0.6,1.4
Nicolas Batum,2.0,3.8,0.3,0.5,1.4,5.8,3.6,2.1,0.6,0.6,0.5
Norman Powell,9.4,18.4,4.2,4.8,3.8,26.6,4.6,2.0,1.2,0.8,1.8
Obi Toppin,9.2,15.6,2.4,3.0,2.6,23.0,7.8,2.6,1.0,1.2,1.6
Ochai Agbaji,5.2,11.4,0.6,0.8,2.4,13.2,5.0,2.0,1.2,1.0,1.4
Payton Pritchard,2.7,6.5,0.4,0.6,1.7,7.4,3.2,3.0,0.4,0.1,0.6
Peyton Watson,5.2,10.0,1.6,2.6,1.2,13.2,5.2,2.2,1.0,1.8,1.2
Precious Achiuwa,6.0,13.2,1.8,3.2,1.0,14.8,10.6,3.4,1.2,1.0,2.2
Quentin Grimes,4.4,11.2,0.2,0.6,3.2,12.4,3.0,2.2,1.2,0.0,0.8
Reggie Jackson,9.8,21.0,2.0,2.8,3.0,24.6,4.4,8.8,1.4,0.4,3.0
Rui Hachimura,9.0,18.4,3.0,4.0,2.2,23.2,7.2,2.2,1.4,0.4,1.6
Santi Aldama,8.4,19.0,1.8,3.2,3.2,22.0,10.8,3.6,1.2,1.4,2.0
Sasha Vezenkov,4.0,9.2,0.4,0.6,2.2,10.4,5.2,1.0,1.0,0.4,0.6
Talen Horton-Tucker,8.2,20.0,3.2,3.8,2.6,22.0,5.2,8.6,2.0,0.8,3.6
Trendon Watford,5.2,9.6,1.8,2.0,0.6,12.8,6.4,3.6,1.0,0.6,2.0
Tre Jones,3.3,7.0,1.1,1.3,0.5,8.2,2.8,4.9,0.8,0.1,1.4
Vince Williams Jr.,3.0,8.6,2.2,2.6,2.2,10.6,10.0,3.2,1.0,1.2,1.6
Xavier Tillman Sr.,5.0,13.0,0.8,2.0,1.0,11.6,9.2,3.0,2.4,2.0,1.8
