,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Jaylin Williams,2.3,6.1,0.9,1,1.3,6.9,6.3,2.9,0.7,0.4,0.7
Moritz Wagner,8.9,15,4.1,5.2,1.1,23,9.4,2.5,1.1,0.6,2.5
Anthony Black,3.9,7.9,1.3,2,1,10.1,4.9,3.6,1.3,0.7,2.1
Caleb Houstan,3.1,7.6,0.9,1.1,2.7,9.9,3.6,1.2,0.6,0.1,0.6
Patrick Beverley,1.8,4.1,0.9,1.1,0.7,5.2,2.8,2.3,0.5,0.3,0.7
Paul Reed,2.5,4.5,0.6,0.9,0.2,5.8,4.5,1.2,0.7,0.7,0.8
Mo Bamba,1.5,2.8,0.6,0.8,0.3,4,3,0.6,0.4,0.7,0.6
Kelly Oubre Jr.,5,10.6,1.8,2.4,1.7,13.4,4.2,1.1,1.2,0.4,0.9
Nicolas Batum,1.9,3.8,0.4,0.6,1.2,5.4,3.6,2.2,0.6,0.8,0.6
Marcus Morris Sr.,2.3,5.1,0.8,1,1,6.5,2.7,0.8,0.4,0.4,0.4
Jaden Springer,1.1,3.2,0.6,0.8,0.2,3,1.4,1,0.6,0.4,0.8
Drew Eubanks,2.3,3.9,1.2,1.5,0.1,5.8,4.3,0.9,0.3,0.9,1.1
Eric Gordon,5,10.8,0.8,1.1,2.7,13.5,2.1,2.4,0.9,0.5,1.3
Keita Bates-Diop,1.7,4.3,0.9,1.3,0.5,4.8,2.9,0.9,0.7,0.6,0.2
Jordan Goodwin,2,5.5,0.7,0.8,0.7,5.5,3.5,2.2,0.6,0.2,0.8
Josh Okogie,1.7,4.3,1.8,2.4,0.5,5.7,2.9,1.4,1,0.5,0.7
Chimezie Metu,2.1,4.1,1.1,1.2,0.5,5.8,3.1,0.5,0.6,0.2,0.8
Nassir Little,1.9,4,0.7,0.8,0.7,5.2,2.6,0.7,0.4,0.3,0.5
Matisse Thybulle,4.1,9.5,0.5,0.7,2.9,11.5,4.3,2.1,3.3,1.8,1.1
Scoot Henderson,9,24.1,3.9,5.1,2.4,24.3,5.9,10,1.2,0.5,6.4
Skylar Mays,5,13.1,1.2,1.6,1.3,12.7,3.5,7.1,1.3,0.3,1.7
Toumani Camara,5.3,12.8,1.9,2.8,1.7,14.1,9.9,1.9,2.1,1,2.4
Kris Murray,2.4,6.6,0.6,0.8,1,6.4,3.8,1.2,1.5,0.3,0.6
Trey Lyles,2.5,5.3,0.9,1.4,1.6,7.5,5,1.4,0.1,0.3,0.7
Kevin Huerter,3.6,8.6,0.7,0.9,1.7,9.5,3.6,2.5,0.6,0.3,0.6
JaVale McGee,1.9,3,0.7,1.2,0,4.6,2.9,0.5,0.2,0.5,1
Harrison Barnes,3.7,7.7,1.8,2.3,1.8,10.9,2.9,1.3,0.7,0.2,0.7
Chris Duarte,1.4,3.7,0.5,0.7,0.6,3.9,1.8,1,0.5,0.1,0.6
Sasha Vezenkov,2.1,4.8,0.2,0.3,1.1,5.4,2.6,0.5,0.5,0.2,0.3
Keon Ellis,1.3,3.1,0.4,0.7,1,4.1,1.3,1.3,0.5,0.5,0.5
Malaki Branham,7.1,16.5,1.2,1.3,2,17.4,4.2,4.9,0.7,0.2,2.6
Julian Champagnie,3.4,8.6,1.4,1.7,2.5,10.7,3.8,1.7,1.2,1.1,1.3
Jeremy Sochan,8.5,19.6,3,3.9,1.9,21.9,10.9,7.9,1.2,0.6,4
Cedi Osman,5.7,12.2,1.5,2.2,2.3,15.3,5.1,3.9,1,0.3,1.2
Doug McDermott,4.2,9.2,0.5,0.8,3.4,12.2,2.1,2.7,0.6,0.1,1.1
Dominick Barlow,2.9,6.1,0.9,1.3,0.1,6.7,5.3,1.9,0.9,0.7,0.4
Gary Trent Jr.,4.2,10.2,0.8,1.3,2.2,11.4,2.3,1.6,0.8,0.1,0.6
Chris Boucher,2.2,4.5,1.3,1.8,0.7,6.3,4,0.4,0.4,0.5,0.5
Kris Dunn,4.1,9,0.7,1,1,9.9,5.7,8.1,1.7,0.8,2.5
Ochai Agbaji,4.7,10.6,0.6,0.8,2.1,12.1,5,2,1.2,1,1.4
Keyonte George,6.9,18.7,4.5,5.7,3.5,21.8,6,8.9,0.9,0.2,4.1
Talen Horton-Tucker,8.2,19.9,3.2,4.1,2.5,22.1,5.1,8.4,2.1,0.7,3.4
Kelly Olynyk,5.8,10.3,3.1,3.5,1.6,16.3,10.2,9.1,1.8,0.6,3.5
John Collins,10.8,21.8,3.6,4.7,2.8,28,15.3,1.9,1.1,1.6,3.1
Simone Fontecchio,6.4,14.2,1.5,1.9,3.6,17.8,6.3,2.6,1.3,0.8,2.3
Omer Yurtseven,3.3,6.7,0.5,0.9,0.3,7.4,8.8,1.2,0.4,0.9,2
Taylor Hendricks,3.5,9.3,1,1.3,1.7,9.7,4.7,0.8,1.3,1.2,1.5
Delon Wright,1.5,4.1,1.1,1.4,0.4,4.6,2.2,3.3,1.4,0.2,0.6
Bilal Coulibaly,3.1,6.4,1.1,1.8,1.1,8.3,4.2,1.8,0.9,0.8,1.4
Deni Avdija,4.5,9.1,2,2.7,1,12.1,5.9,3.8,1,0.3,1.7
Danilo Gallinari,2.2,5,1.8,2.2,0.8,7,2.9,1.2,0.2,0.1,0.5
Mike Muscala,1.4,3.8,0.6,0.8,0.6,4,3.1,0.9,0.2,0.3,0.7
Landry Shamet,2.8,6.2,0.7,1,1.3,7.6,1.3,1.4,0.6,0.3,0.7
Corey Kispert,4.1,8.6,1.4,1.9,2,11.7,2.1,1.5,0.3,0.2,1
Jared Butler,1.6,2.9,0.7,0.9,0.6,4.6,0.6,1.8,0.5,0.1,0.6
Eugene Omoruyi,1.7,2.9,0.8,1.1,0.3,4.5,1.5,0.6,0.5,0.1,0.5
