,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Dean Wade,1.7,4.2,0.5,0.6,1.3,5.1,4.5,0.9,0.9,0.3,0.5
Craig Porter Jr.,3.0,5.9,1.0,1.5,0.3,7.2,2.7,3.2,0.7,0.5,1.1
Josh Green,2.8,6.0,0.6,0.9,1.0,7.1,2.9,2.5,0.8,0.2,0.9
Derrick Jones Jr.,3.9,7.9,1.4,1.9,1.4,10.6,3.8,1.0,0.9,0.9,0.9
Dwight Powell,1.6,2.3,1.5,1.9,0.0,4.7,3.9,1.7,0.6,0.4,0.5
Seth Curry,1.5,4.1,0.5,0.5,0.9,4.5,1.5,0.8,0.5,0.1,0.5
Grant Williams,2.8,6.8,0.8,1.2,1.7,8.2,3.6,1.6,0.4,0.7,1.1
A.J. Lawson,1.7,3.6,0.6,0.9,0.6,4.6,1.4,0.6,0.5,0.1,0.5
Jaden Hardy,2.9,7.6,0.8,1.2,1.3,7.9,2.1,1.7,0.3,0.1,0.8
Zeke Nnaji,1.2,2.5,0.7,1.1,0.1,3.2,2.2,0.5,0.2,0.6,0.6
Justin Holiday,1.4,2.8,0.0,0.0,0.9,3.6,1.2,1.0,0.6,0.0,0.2
Reggie Jackson,4.7,10.0,1.0,1.3,1.4,11.8,2.1,4.3,0.6,0.2,1.5
Christian Braun,2.9,6.3,1.3,1.8,0.7,7.8,3.6,1.6,0.4,0.4,0.8
Peyton Watson,2.6,5.4,1.0,1.4,0.7,6.8,2.7,0.9,0.5,0.8,0.5
Isaiah Stewart,3.9,8.3,1.2,1.7,1.4,10.6,7.0,1.7,0.3,0.6,1.6
Marvin Bagley III,4.1,7.0,1.9,2.3,0.0,10.2,4.5,1.0,0.2,0.5,1.1
Kevin Knox II,3.4,6.8,0.7,0.8,1.3,8.8,2.5,0.8,0.5,0.3,0.7
Alec Burks,3.4,9.0,2.6,2.9,2.0,11.5,2.2,1.3,0.4,0.3,0.7
James Wiseman,2.7,4.0,0.8,1.3,0.0,6.3,4.2,0.7,0.1,0.7,0.9
Killian Hayes,3.0,7.5,0.9,1.4,0.6,7.5,2.9,4.7,1.0,0.5,1.3
Isaiah Livers,1.7,5.0,0.5,0.8,1.0,5.0,2.1,1.1,0.6,0.2,0.7
Stanley Umude,1.3,2.9,1.4,1.5,0.9,5.0,1.9,0.5,0.3,0.3,0.7
Marcus Sasser,2.5,5.5,0.6,0.7,1.1,6.8,1.6,2.5,0.6,0.2,0.8
Ausar Thompson,3.3,7.4,1.2,1.8,0.2,8.1,6.7,2.1,0.8,1.0,1.4
Andrew Wiggins,4.5,10.8,1.8,2.6,0.9,11.7,4.1,1.5,0.3,0.4,1.4
Dario Saric,3.6,7.6,1.6,1.9,1.5,10.4,5.6,2.4,0.6,0.2,1.2
Kevon Looney,2.3,3.8,1.0,1.4,0.0,5.6,7.2,2.4,0.5,0.3,0.7
Trayce Jackson-Davis,3.0,4.3,1.2,1.9,0.0,7.2,4.4,1.0,0.4,0.8,0.8
Brandin Podziemski,3.6,7.8,0.7,1.1,1.4,9.2,5.5,3.2,0.9,0.2,1.2
Jae'Sean Tate,1.9,4.0,0.6,0.8,0.5,4.9,3.6,1.0,0.8,0.2,0.5
Aaron Holiday,2.4,5.6,0.6,0.7,1.2,6.7,1.9,1.6,0.5,0.1,0.8
Dillon Brooks,5.0,10.5,1.8,2.1,1.8,13.5,3.4,1.7,0.9,0.0,1.7
Jeff Green,2.2,4.1,1.9,2.3,0.4,6.8,2.0,0.8,0.1,0.4,0.7
Cam Whitmore,3.5,6.8,1.3,1.9,1.1,9.4,2.9,0.3,0.8,0.1,0.7
Amen Thompson,2.1,4.9,1.2,1.8,0.2,5.5,3.6,1.9,0.9,0.2,1.3
Norman Powell,4.7,9.4,2.1,2.3,2.1,13.6,2.4,1.0,0.6,0.4,0.9
Daniel Theis,2.5,5.0,0.9,1.3,0.4,6.4,3.5,0.9,0.5,0.8,0.6
P.J. Tucker,0.4,1.3,0.2,0.2,0.3,1.3,2.9,0.5,0.6,0.2,0.3
Amir Coffey,1.6,3.1,0.5,0.6,0.5,4.3,1.6,0.7,0.3,0.0,0.4
Terance Mann,2.7,6.3,0.8,1.1,0.9,7.1,3.2,1.8,0.6,0.3,0.6
Kobe Brown,0.9,2.2,0.0,0.1,0.4,2.2,1.4,0.6,0.2,0.1,0.2
Christian Wood,2.7,5.6,1.4,2.0,0.9,7.6,5.7,1.0,0.2,0.7,1.2
Taurean Prince,3.6,8.3,0.6,0.8,2.2,10.0,2.9,1.8,0.9,0.5,0.9
Skylar Mays,2.5,6.3,0.6,0.7,0.7,6.3,1.7,3.4,0.7,0.1,0.8
Jarred Vanderbilt,1.2,3.1,0.3,0.5,0.2,2.8,4.3,1.0,0.7,0.2,0.7
Jaxson Hayes,1.3,1.9,0.5,0.9,0.0,3.0,1.8,0.3,0.2,0.4,0.6
Rui Hachimura,4.5,9.3,1.7,2.2,1.1,11.8,3.6,1.1,0.7,0.2,0.8
Cam Reddish,2.3,5.8,1.1,1.3,0.9,6.5,2.4,1.4,1.2,0.2,0.9
Max Christie,1.9,4.7,0.7,0.9,0.7,5.3,3.0,1.1,0.4,0.3,0.8
Josh Richardson,3.6,8.1,1.4,1.5,1.5,10.0,2.7,2.8,0.6,0.3,1.0
Thomas Bryant,2.0,3.6,0.8,1.0,0.0,4.8,3.6,0.6,0.3,0.2,0.8
Kyle Lowry,3.0,6.5,1.1,1.3,1.9,8.9,3.6,4.0,1.1,0.4,1.5
Kevin Love,3.2,7.1,2.1,2.6,1.7,10.1,6.7,2.6,0.4,0.2,0.7
Caleb Martin,4.0,9.2,1.3,1.9,1.2,10.6,4.9,2.2,0.8,0.2,1.3
Haywood Highsmith,2.3,5.4,0.6,0.8,1.2,6.5,3.1,1.4,1.1,0.6,0.8
Nikola Jovic,2.2,5.1,0.8,1.3,1.2,6.3,4.8,2.5,0.5,0.5,1.1
Jamal Cain,2.1,4.7,1.0,1.4,0.6,5.7,2.1,0.2,0.6,0.3,0.3
Orlando Robinson,1.9,3.7,0.7,1.0,0.4,5.0,3.7,1.5,0.3,0.4,0.8
Jaime Jaquez Jr.,5.4,10.6,2.1,2.5,1.1,14.0,3.9,2.7,1.1,0.3,1.7
Malik Beasley,4.3,8.7,0.3,0.4,3.0,11.9,4.1,1.4,0.8,0.1,0.7
Cameron Payne,2.2,4.7,0.9,1.0,1.1,6.3,1.2,2.4,0.4,0.1,0.7
Bobby Portis,5.2,10.2,1.2,1.6,1.1,12.6,6.8,1.0,0.7,0.5,1.0
MarJon Beauchamp,1.9,4.0,0.4,0.6,0.8,5.0,2.5,0.8,0.3,0.2,0.7
Andre Jackson Jr.,1.0,2.0,0.2,0.2,0.4,2.6,2.0,1.0,0.3,0.1,0.5
AJ Green,1.2,2.6,0.2,0.2,1.0,3.4,0.8,0.6,0.0,0.0,0.0
Jaden McDaniels,4.4,8.6,0.6,0.8,1.1,10.5,2.4,1.3,0.9,0.6,1.2
Kyle Anderson,2.6,5.5,1.4,2.0,0.1,6.7,3.6,3.8,0.8,0.6,1.4
Troy Brown Jr.,1.5,3.4,0.6,0.7,0.9,4.5,2.1,1.0,0.2,0.1,0.5
Shake Milton,1.8,4.3,1.1,1.4,0.4,5.0,1.4,1.3,0.4,0.1,0.8
Jordan McLaughlin,0.9,2.2,0.2,0.2,0.4,2.4,0.8,1.8,0.7,0.2,0.2
Naz Reid,4.8,9.5,1.2,1.5,1.9,12.7,4.8,1.1,0.7,0.6,1.3
Nickeil Alexander-Walker,2.3,5.6,0.4,0.6,1.4,6.4,1.7,2.4,0.9,0.6,0.9
Naji Marshall,2.8,6.2,1.5,1.9,1.0,8.2,3.9,2.1,0.6,0.2,1.1
Larry Nance Jr.,2.1,3.6,0.8,1.0,0.5,5.4,5.0,1.1,1.0,0.4,0.9
Jeremiah Robinson-Earl,1.6,3.0,0.4,0.4,0.5,4.0,2.6,0.5,0.4,0.2,0.5
Jose Alvarado,2.6,6.3,0.8,1.2,1.4,7.3,2.3,2.0,1.0,0.4,0.8
Dyson Daniels,2.4,5.4,0.8,1.2,0.7,6.2,3.9,2.8,1.4,0.3,0.9
Jordan Hawkins,3.5,8.8,1.5,1.8,2.1,10.7,2.8,1.5,0.3,0.1,0.8
Trey Murphy III,4.4,10.1,1.8,2.1,2.7,13.3,3.7,2.2,0.8,0.4,0.6
Precious Achiuwa,2.7,5.9,0.8,1.4,0.4,6.7,5.0,1.4,0.6,0.5,1.1
Malachi Flynn,1.7,4.1,0.5,0.7,0.8,4.8,1.9,2.2,0.5,0.2,1.0
Josh Hart,2.8,6.4,0.7,0.9,0.9,7.3,6.2,2.8,0.8,0.2,1.2
Quentin Grimes,2.4,6.1,0.3,0.4,1.8,6.9,1.7,1.1,0.7,0.1,0.4
Miles McBride,1.4,3.0,0.2,0.3,0.9,3.9,0.7,0.9,0.3,0.0,0.2
Isaiah Joe,3.1,6.8,0.7,0.9,2.2,9.1,2.2,1.1,0.6,0.3,0.6
Kenrich Williams,1.8,3.7,0.1,0.4,0.8,4.5,2.8,1.6,0.5,0.1,0.4
Aaron Wiggins,1.9,3.3,0.6,0.8,0.5,4.8,2.2,0.8,0.5,0.1,0.5
Jaylin Williams,1.2,3.1,0.5,0.5,0.7,3.5,3.2,1.4,0.4,0.2,0.4
Cason Wallace,2.6,5.1,0.5,0.6,1.1,6.7,2.2,1.5,0.6,0.4,0.5
Jonathan Isaac,2.2,4.9,1.4,1.8,0.6,6.4,4.1,0.4,0.8,1.2,0.5
Wendell Carter Jr.,2.8,6.7,1.4,2.0,1.0,8.1,6.4,1.8,0.3,0.5,1.2
Moritz Wagner,4.5,7.5,2.1,2.6,0.5,11.5,4.7,1.3,0.5,0.3,1.3
Joe Ingles,1.7,4.2,0.7,0.8,1.1,5.2,2.6,3.5,0.8,0.1,0.9
Goga Bitadze,2.9,4.7,1.3,1.9,0.1,7.2,6.4,1.7,0.7,1.7,0.8
Caleb Houstan,1.7,4.3,0.4,0.5,1.5,5.4,1.8,0.7,0.3,0.0,0.4
Anthony Black,2.0,4.0,0.7,1.2,0.5,5.1,2.5,1.8,0.7,0.4,1.0
Paul Reed,2.5,4.6,0.7,0.9,0.2,5.9,4.6,1.2,0.7,0.7,0.8
Mo Bamba,1.6,3.0,0.6,0.9,0.4,4.2,3.0,0.5,0.4,0.8,0.6
Nicolas Batum,2.0,3.9,0.3,0.5,1.3,5.8,3.7,2.2,0.6,0.8,0.6
Marcus Morris Sr.,2.2,5.1,0.8,0.9,1.0,6.3,2.7,0.8,0.4,0.3,0.4
Kelly Oubre Jr.,5.0,10.6,1.8,2.4,1.7,13.4,4.2,1.1,1.2,0.4,0.9
Patrick Beverley,1.8,4.2,0.9,1.1,0.6,5.2,2.9,2.4,0.5,0.3,0.8
Jaden Springer,1.1,3.2,0.5,0.8,0.2,3.0,1.4,0.9,0.5,0.4,0.8
Josh Okogie,1.6,4.1,1.8,2.3,0.5,5.5,2.8,1.3,1.0,0.5,0.6
Keita Bates-Diop,1.7,4.2,0.9,1.2,0.5,4.7,2.8,0.9,0.6,0.5,0.2
Chimezie Metu,2.1,4.0,1.2,1.3,0.5,5.8,3.0,0.5,0.6,0.3,0.8
Drew Eubanks,2.2,3.9,1.1,1.5,0.1,5.7,4.2,0.9,0.3,0.9,1.1
Eric Gordon,4.8,10.6,0.8,1.0,2.6,12.9,2.1,2.4,0.9,0.5,1.2
Nassir Little,1.9,3.8,0.7,0.8,0.7,5.1,2.5,0.7,0.4,0.3,0.5
Jordan Goodwin,2.0,5.3,0.7,0.8,0.7,5.3,3.4,2.2,0.6,0.2,0.8
Malcolm Brogdon,5.3,12.2,2.1,2.7,2.1,14.7,3.3,5.1,0.7,0.1,1.4
Toumani Camara,2.6,6.4,1.0,1.4,0.8,7.1,4.9,1.0,1.0,0.6,1.2
Scoot Henderson,4.6,12.7,2.2,3.0,1.3,12.7,3.1,5.0,0.7,0.2,3.3
Jabari Walker,3.0,6.1,1.8,2.4,0.5,8.4,5.7,0.9,0.7,0.4,1.0
Kris Murray,1.4,3.7,0.3,0.5,0.6,3.8,1.9,0.7,0.9,0.1,0.4
Kevin Huerter,3.7,8.7,0.7,0.8,1.8,9.9,3.7,2.5,0.6,0.3,0.6
Sasha Vezenkov,2.0,4.7,0.2,0.3,1.0,5.3,2.6,0.4,0.4,0.2,0.3
JaVale McGee,1.9,3.0,0.8,1.2,0.0,4.5,3.0,0.4,0.2,0.6,1.0
Harrison Barnes,3.7,7.7,1.8,2.2,1.7,10.8,2.8,1.2,0.7,0.2,0.7
Trey Lyles,2.5,5.5,0.8,1.3,1.6,7.5,5.0,1.4,0.1,0.3,0.6
Keon Ellis,1.3,3.1,0.4,0.6,1.0,4.0,1.4,1.3,0.5,0.4,0.6
Chris Duarte,1.3,3.7,0.5,0.7,0.6,3.8,1.9,0.9,0.5,0.1,0.6
Doug McDermott,2.2,4.7,0.3,0.5,1.8,6.4,1.1,1.3,0.3,0.1,0.5
Cedi Osman,2.9,6.0,0.7,1.1,1.2,7.8,2.6,1.9,0.5,0.1,0.6
Sandro Mamukelashvili,1.0,2.4,0.5,0.7,0.4,2.8,2.1,1.1,0.2,0.4,0.4
Jeremy Sochan,4.3,9.9,1.5,1.9,1.0,11.0,5.5,3.9,0.6,0.3,1.9
Malaki Branham,3.6,8.4,0.6,0.6,1.1,8.8,2.1,2.5,0.4,0.1,1.3
Dominick Barlow,1.4,3.2,0.6,1.1,0.1,3.6,3.1,1.1,0.4,0.6,0.2
Julian Champagnie,1.7,4.5,0.9,1.0,1.3,5.5,2.0,1.0,0.6,0.5,0.7
Gary Trent Jr.,4.1,10.1,0.8,1.2,2.2,11.3,2.2,1.6,0.8,0.1,0.6
Chris Boucher,2.2,4.4,1.3,1.8,0.7,6.4,3.9,0.4,0.4,0.5,0.5
Omer Yurtseven,1.7,3.3,0.3,0.4,0.1,3.7,4.4,0.6,0.2,0.4,1.0
John Collins,5.4,10.6,1.8,2.3,1.4,13.9,7.8,1.0,0.6,0.8,1.5
Talen Horton-Tucker,4.1,10.0,1.6,2.0,1.2,11.0,2.5,4.2,1.1,0.4,1.7
Ochai Agbaji,2.3,5.4,0.3,0.4,1.0,6.0,2.6,1.0,0.6,0.5,0.7
Simone Fontecchio,3.2,7.1,0.7,0.9,1.8,8.8,3.2,1.3,0.6,0.4,1.1
Taylor Hendricks,1.8,4.5,0.5,0.6,0.9,4.9,2.2,0.5,0.7,0.5,0.7
