,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Payton Pritchard,2.7,6.5,0.4,0.6,1.6,7.3,3.1,3.0,0.5,0.1,0.6
Al Horford,2.9,6.0,0.3,0.4,1.4,7.6,6.9,3.1,0.5,1.1,0.9
Oshae Brissett,1.2,2.7,0.7,1.1,0.4,3.5,3.0,0.5,0.5,0.1,0.3
Luke Kornet,2.2,3.1,0.7,0.8,0.0,5.1,3.7,0.8,0.5,0.9,0.4
Neemias Queta,2.0,3.5,0.9,1.2,0.0,4.9,4.8,0.5,0.5,0.3,0.4
P.J. Washington Jr.,4.9,11.5,1.5,2.0,1.8,13.0,5.2,2.3,0.9,0.7,1.5
Brandon Miller,5.5,13.0,1.6,1.9,2.1,14.7,3.8,2.2,0.7,0.5,1.7
JT Thor,1.2,3.1,0.1,0.3,0.5,3.0,2.4,0.4,0.2,0.4,0.2
Nick Richards,3.4,5.0,1.9,2.6,0.0,8.7,7.3,0.7,0.4,1.2,1.0
Bryce McGowens,1.8,4.1,0.9,1.2,0.8,5.3,1.9,1.0,0.3,0.1,0.5
Ish Smith,1.9,3.9,0.1,0.1,0.1,3.9,1.7,3.3,0.3,0.1,1.4
Nick Smith Jr.,2.4,5.2,0.1,0.1,1.4,6.4,1.1,0.8,0.1,0.4,0.6
Ayo Dosunmu,3.2,6.9,0.8,1.0,1.0,8.1,2.5,1.9,0.8,0.3,0.8
Alex Caruso,3.6,7.0,1.2,1.6,1.6,10.0,3.5,2.5,1.3,0.8,1.4
Patrick Williams,3.8,8.3,1.2,1.6,1.3,10.0,4.0,1.5,0.9,0.8,1.2
Andre Drummond,2.9,5.6,1.5,2.7,0.0,7.3,8.6,0.5,1.2,0.6,1.1
Jevon Carter,2.0,5.6,0.1,0.1,1.2,5.3,0.8,1.3,0.6,0.3,0.5
Dalen Terry,0.9,2.1,0.4,0.6,0.2,2.4,1.8,1.3,0.2,0.3,0.5
Grant Williams,3.0,7.1,0.8,1.2,1.8,8.6,3.7,1.6,0.5,0.7,1.0
Jaden Hardy,2.9,7.6,0.8,1.1,1.3,7.8,2.1,1.6,0.4,0.1,0.8
Josh Green,2.6,5.8,0.6,0.9,1.0,6.9,2.8,2.5,0.9,0.2,0.9
Tim Hardaway Jr.,6.0,14.4,2.2,2.6,3.1,17.3,3.6,1.7,0.4,0.0,0.8
Dwight Powell,1.6,2.3,1.5,2.0,0.0,4.8,3.6,1.5,0.5,0.4,0.4
Seth Curry,1.6,4.4,0.5,0.6,1.0,4.8,1.6,0.9,0.6,0.1,0.4
A.J. Lawson,1.8,3.7,0.7,0.9,0.6,4.9,1.4,0.6,0.6,0.1,0.5
Marvin Bagley III,4.1,7.0,1.9,2.3,0.0,10.2,4.6,1.0,0.2,0.6,1.2
Alec Burks,3.2,8.6,2.6,2.9,1.9,10.9,2.3,1.3,0.4,0.2,0.6
Marcus Sasser,2.7,5.6,0.6,0.7,1.2,7.2,1.6,2.3,0.6,0.2,0.8
Jaden Ivey,4.4,9.7,2.9,3.9,1.1,12.9,3.5,3.2,0.8,0.5,2.2
Kevin Knox II,3.1,6.3,0.6,0.7,1.2,8.1,2.2,0.7,0.4,0.3,0.6
Ausar Thompson,3.5,7.7,1.3,1.9,0.2,8.6,6.9,2.2,0.8,1.0,1.5
James Wiseman,2.8,4.2,0.8,1.3,0.0,6.5,4.2,0.6,0.2,0.7,1.0
Killian Hayes,3.1,7.7,0.9,1.4,0.6,7.8,2.8,4.3,1.0,0.5,1.1
Stanley Umude,1.3,2.9,1.4,1.5,0.9,5.0,1.9,0.5,0.3,0.3,0.7
Aaron Holiday,2.6,5.8,0.5,0.6,1.3,7.0,1.9,1.8,0.5,0.1,0.8
Jae'Sean Tate,2.0,4.1,0.5,0.8,0.5,5.1,3.7,1.1,0.8,0.2,0.5
Jeff Green,2.2,4.1,1.9,2.4,0.4,6.7,2.0,0.7,0.2,0.5,0.7
Cam Whitmore,3.0,5.6,1.1,1.7,1.0,8.1,2.2,0.3,0.7,0.1,0.7
T.J. McConnell,3.3,6.1,1.0,1.3,0.0,7.6,2.7,5.0,1.0,0.1,1.2
Isaiah Jackson,2.9,4.3,1.4,2.0,0.0,7.1,4.3,0.9,0.6,1.2,0.6
Bruce Brown,4.5,9.4,2.0,2.4,1.0,11.9,4.6,2.8,1.0,0.2,1.3
Bennedict Mathurin,5.1,10.9,2.9,3.4,1.3,14.3,3.8,2.0,0.6,0.2,1.5
Obi Toppin,4.5,7.9,1.1,1.5,1.3,11.5,4.0,1.4,0.5,0.6,0.7
Jalen Smith,3.9,6.0,1.3,1.8,1.1,10.2,5.2,1.0,0.3,0.3,0.9
Terance Mann,2.6,6.4,0.9,1.1,0.8,6.9,3.2,1.9,0.7,0.3,0.6
Norman Powell,4.6,9.4,2.1,2.3,2.0,13.3,2.3,1.0,0.6,0.4,0.9
Daniel Theis,2.6,5.2,0.9,1.2,0.4,6.6,3.4,0.7,0.4,0.8,0.6
Amir Coffey,1.3,2.9,0.6,0.7,0.5,3.8,1.6,0.7,0.2,0.0,0.4
P.J. Tucker,0.4,1.3,0.2,0.2,0.3,1.3,2.9,0.5,0.6,0.2,0.3
Kobe Brown,1.0,2.4,0.0,0.1,0.5,2.4,1.5,0.6,0.2,0.1,0.2
Cam Reddish,2.4,6.1,1.1,1.3,0.9,6.7,2.6,1.5,1.3,0.2,0.9
Jarred Vanderbilt,1.1,3.1,0.2,0.2,0.1,2.5,4.0,0.9,0.7,0.2,0.4
Christian Wood,2.5,5.3,1.3,2.0,0.8,7.2,5.7,1.0,0.2,0.7,1.2
Taurean Prince,3.5,8.3,0.6,0.8,2.2,9.9,2.8,1.9,0.9,0.5,1.0
Jaxson Hayes,1.2,1.9,0.5,0.9,0.0,2.9,1.8,0.3,0.2,0.3,0.5
Max Christie,1.9,4.8,0.5,0.7,0.7,5.0,2.9,0.9,0.4,0.3,0.8
Xavier Tillman Sr.,2.1,5.7,0.3,0.9,0.4,5.0,4.3,1.3,1.1,0.8,0.8
John Konchar,1.1,3.1,0.2,0.3,0.6,3.2,3.8,1.3,0.8,0.7,0.5
Ziaire Williams,2.7,6.8,1.1,1.3,1.1,7.6,3.5,1.4,0.5,0.3,1.2
Vince Williams Jr.,1.8,4.6,1.2,1.4,1.2,5.9,5.1,1.6,0.5,0.7,0.8
David Roddy,2.8,6.9,0.8,1.2,0.9,7.2,3.6,1.2,0.5,0.3,0.8
Luke Kennard,2.6,6.8,0.8,0.8,2.2,8.2,2.9,2.2,0.5,0.1,0.5
Santi Aldama,3.9,9.0,1.0,1.6,1.6,10.4,5.5,1.7,0.7,0.7,1.1
Jacob Gilyard,1.3,3.0,0.0,0.0,1.2,3.8,1.0,3.0,0.6,0.1,0.6
Duncan Robinson,4.9,10.5,1.4,1.6,3.0,14.2,2.6,3.1,0.5,0.2,1.3
Jaime Jaquez Jr.,5.3,10.5,2.0,2.3,1.1,13.7,3.7,2.7,1.1,0.3,1.7
Kyle Lowry,3.1,6.7,1.1,1.3,2.0,9.3,3.6,4.1,1.1,0.3,1.5
Josh Richardson,3.6,8.3,1.4,1.5,1.5,10.0,2.8,3.0,0.6,0.3,1.0
Kevin Love,3.2,7.1,1.9,2.4,1.8,10.1,6.9,2.6,0.4,0.2,0.7
Thomas Bryant,2.0,3.6,0.8,1.0,0.0,4.8,3.6,0.6,0.3,0.2,0.8
Orlando Robinson,2.1,3.9,0.7,1.1,0.5,5.3,3.9,1.6,0.3,0.5,0.9
Haywood Highsmith,2.1,5.2,0.7,0.9,1.0,6.0,2.9,1.4,1.1,0.6,0.9
Jamal Cain,2.1,4.7,1.0,1.4,0.6,5.7,2.1,0.2,0.6,0.3,0.3
Cameron Payne,2.1,4.6,0.9,1.0,1.1,6.1,1.1,2.4,0.4,0.1,0.8
MarJon Beauchamp,2.0,4.0,0.4,0.6,0.8,5.2,2.5,0.8,0.3,0.2,0.7
Malik Beasley,4.1,8.4,0.2,0.4,2.9,11.4,4.1,1.3,0.7,0.1,0.7
Pat Connaughton,2.0,4.7,0.4,0.6,1.2,5.5,3.6,1.8,0.5,0.2,0.6
Andre Jackson Jr.,0.9,1.7,0.1,0.2,0.4,2.4,1.6,0.8,0.3,0.0,0.5
Nickeil Alexander-Walker,2.4,5.7,0.4,0.6,1.4,6.5,1.7,2.4,0.9,0.6,0.9
Jaden McDaniels,4.4,8.5,0.6,0.9,1.1,10.4,2.2,1.2,0.8,0.7,1.0
Jordan McLaughlin,0.7,1.9,0.2,0.3,0.4,2.1,0.8,1.5,0.7,0.3,0.1
Kyle Anderson,2.5,5.4,1.3,1.9,0.1,6.3,3.7,3.9,0.8,0.7,1.5
Troy Brown Jr.,1.6,3.4,0.6,0.7,0.9,4.7,2.2,0.9,0.3,0.1,0.5
Shake Milton,1.7,4.5,1.2,1.5,0.4,5.1,1.4,1.4,0.5,0.1,0.9
Quentin Grimes,2.4,5.9,0.2,0.3,1.7,6.7,1.6,1.1,0.7,0.1,0.4
Precious Achiuwa,2.9,6.1,0.8,1.4,0.5,7.0,5.0,1.6,0.6,0.5,1.0
Malachi Flynn,1.7,4.2,0.5,0.7,0.8,4.8,2.0,2.2,0.5,0.2,1.0
Miles McBride,1.0,2.1,0.2,0.2,0.6,2.7,0.3,0.8,0.3,0.0,0.0
Luguentz Dort,3.8,8.2,1.8,2.2,1.8,11.2,4.1,1.4,0.9,0.8,0.8
Cason Wallace,2.7,5.1,0.5,0.6,1.1,7.0,2.1,1.5,0.6,0.4,0.5
