,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Aaron Holiday,2.7,6.0,0.6,0.7,1.4,7.3,1.9,1.7,0.5,0.1,0.8
Aaron Nesmith,4.3,8.0,1.2,1.7,2.2,12.0,3.2,1.1,1.0,0.7,1.0
Alec Burks,2.7,8.0,2.5,2.8,1.7,9.5,2.1,1.3,0.4,0.2,0.4
Al Horford,2.9,6.0,0.4,0.4,1.4,7.5,7.0,2.9,0.4,1.0,0.9
Ausar Thompson,3.8,8.2,1.3,1.9,0.3,9.2,7.2,2.2,0.8,1.1,1.6
Ayo Dosunmu,6.0,13.0,1.6,2.2,1.8,15.6,4.8,3.8,1.6,0.6,1.6
Bennedict Mathurin,4.8,10.7,2.6,3.1,1.3,13.6,3.6,1.9,0.6,0.2,1.5
Bilal Coulibaly,3.2,6.2,1.1,1.7,1.1,8.5,4.1,1.8,0.9,0.6,1.5
Cameron Payne,4.6,9.6,1.2,1.4,2.4,12.6,2.4,4.8,0.8,0.2,1.6
Cam Reddish,2.4,6.2,1.2,1.4,0.8,6.9,2.7,1.6,1.3,0.3,0.7
Caris LeVert,5.5,13.5,2.4,3.3,1.8,15.3,3.4,3.9,1.0,0.4,1.5
Cason Wallace,5.2,10.0,1.0,1.0,2.0,13.4,4.4,3.0,1.2,1.0,1.0
Cedi Osman,5.6,12.2,1.4,2.2,2.4,15.2,4.6,3.6,0.8,0.4,1.2
Christian Braun,3.1,6.6,1.4,1.9,0.7,8.3,3.6,1.8,0.4,0.3,0.7
Cole Anthony,9.6,21.6,6.6,8.0,2.6,28.6,8.8,7.0,1.6,0.8,3.6
Corey Kispert,4.1,8.6,1.5,2.0,2.1,11.6,2.2,1.5,0.4,0.2,0.9
Dario Saric,7.2,15.6,3.4,4.0,3.0,21.0,11.6,4.2,1.2,0.4,2.4
Day'Ron Sharpe,5.8,10.2,2.6,4.4,0.0,14.4,13.8,2.8,1.0,1.8,2.2
Dean Wade,1.8,4.6,0.4,0.6,1.5,5.6,4.8,0.9,0.9,0.3,0.5
Deni Avdija,4.4,9.0,1.8,2.4,0.9,11.6,5.9,3.8,0.9,0.3,1.5
Dorian Finney-Smith,7.6,16.8,0.6,0.6,4.8,20.4,10.2,2.4,1.4,1.0,1.6
Drew Eubanks,2.5,4.2,1.1,1.3,0.1,6.2,4.4,1.1,0.4,1.0,1.2
Duncan Robinson,5.1,10.6,1.3,1.5,3.1,14.6,2.8,3.2,0.5,0.2,1.2
Dwight Powell,1.6,2.1,1.5,1.8,0.0,4.6,3.4,1.4,0.4,0.4,0.4
Dyson Daniels,4.6,11.0,1.4,2.2,1.4,11.8,7.8,5.2,2.6,0.6,2.0
Eric Gordon,5.1,10.9,0.6,0.8,2.7,13.5,2.0,2.5,1.0,0.6,1.4
Gary Harris,4.8,11.4,2.0,2.4,2.6,14.4,3.4,3.8,1.8,0.4,1.0
Gary Trent Jr.,4.2,10.4,0.9,1.4,2.2,11.6,2.2,1.7,0.8,0.1,0.6
Georges Niang,3.0,7.7,0.4,0.5,1.6,8.1,3.4,1.2,0.3,0.2,0.9
Grant Williams,3.1,7.4,0.8,1.2,2.0,9.0,3.9,1.7,0.5,0.6,0.8
Harrison Barnes,7.6,16.0,4.0,4.8,3.4,22.8,6.2,2.6,1.4,0.4,1.4
Isaac Okoro,3.0,6.2,1.4,2.0,1.0,8.4,3.5,2.1,0.8,0.4,0.8
Isaiah Jackson,2.8,4.1,1.3,1.9,0.0,6.9,4.2,0.9,0.6,1.4,0.6
Isaiah Joe,6.2,13.8,1.8,2.2,4.6,18.6,4.6,2.2,1.4,0.8,1.0
Jabari Walker,2.9,6.0,1.7,2.2,0.5,8.1,5.4,0.7,0.7,0.5,0.9
Jaden McDaniels,4.5,8.3,0.6,0.9,1.1,10.7,2.3,1.1,0.8,0.7,1.0
Jae'Sean Tate,2.0,4.1,0.4,0.6,0.5,4.9,3.5,1.1,0.8,0.2,0.5
Jalen Smith,3.9,5.6,1.3,2.0,1.2,10.4,5.4,0.9,0.3,0.4,1.0
Jeremy Sochan,8.4,19.6,3.0,4.0,1.8,21.6,11.2,8.2,1.2,0.6,4.2
John Collins,5.1,10.8,2.0,2.5,1.4,13.6,8.0,0.7,0.6,0.9,1.6
John Konchar,2.6,6.8,0.6,0.8,1.4,7.2,8.2,2.8,1.6,1.4,1.0
Jonathan Kuminga,9.4,18.6,5.0,7.2,1.4,25.0,8.0,2.6,1.2,0.6,2.8
Jordan Goodwin,2.1,5.8,0.8,0.9,0.8,5.8,3.8,2.4,0.6,0.3,0.9
Jordan Hawkins,6.8,17.8,3.0,3.4,4.2,20.8,6.2,3.0,0.8,0.0,1.6
Josh Hart,3.0,6.5,0.7,0.8,0.9,7.5,5.9,2.8,0.9,0.2,1.1
Josh Okogie,1.7,4.5,1.8,2.4,0.5,5.8,3.2,1.2,0.9,0.5,0.7
Kelly Oubre Jr.,4.9,10.3,1.6,2.3,1.7,13.0,4.1,0.8,1.2,0.4,0.8
Kevin Huerter,7.8,18.4,1.2,1.6,3.8,20.8,7.4,5.2,1.2,0.6,1.2
Kevin Love,2.9,6.9,1.7,2.2,1.8,9.4,6.7,2.6,0.4,0.1,0.7
Kevon Looney,4.4,7.6,1.8,2.6,0.0,10.6,15.0,5.2,1.2,0.6,1.6
Killian Hayes,3.4,8.1,1.0,1.5,0.7,8.5,3.0,4.2,1.0,0.6,1.2
Kyle Anderson,2.7,5.8,1.4,2.0,0.1,6.9,3.6,4.0,0.7,0.8,1.5
Kyle Lowry,3.1,6.8,1.1,1.3,2.0,9.4,3.7,4.1,1.1,0.4,1.4
Luguentz Dort,7.4,16.0,3.6,4.4,3.8,22.2,7.8,2.6,1.6,1.6,1.8
Luke Kornet,2.4,3.2,0.7,0.8,0.0,5.6,3.6,0.8,0.4,0.9,0.4
Malaki Branham,7.6,17.0,1.2,1.4,2.2,18.4,4.4,5.0,0.8,0.2,2.6
Malik Beasley,8.6,17.6,0.6,0.8,6.0,23.6,8.6,2.8,1.6,0.2,1.2
Malik Monk,9.8,22.0,4.4,5.0,5.2,29.0,5.2,10.4,1.2,1.2,4.4
Marcus Sasser,2.8,5.9,0.6,0.7,1.2,7.3,1.7,2.3,0.6,0.2,0.9
Marvin Bagley III,4.3,7.2,2.0,2.4,0.0,10.5,4.8,1.0,0.1,0.6,1.2
Moritz Wagner,8.8,14.6,3.8,4.8,1.0,22.4,8.8,2.4,0.8,0.6,2.6
Moses Moody,6.0,12.4,2.6,3.4,2.0,16.4,6.4,1.8,1.4,0.6,1.4
Naji Marshall,5.6,12.2,3.0,4.0,2.2,16.2,8.0,4.8,1.4,0.4,2.4
Naz Reid,4.8,9.5,1.4,1.5,1.9,12.9,4.5,1.0,0.7,0.6,1.4
Nickeil Alexander-Walker,2.5,5.8,0.4,0.5,1.4,6.7,1.8,2.5,1.0,0.6,1.0
Nicolas Batum,2.0,3.8,0.3,0.5,1.4,5.8,3.6,2.1,0.6,0.6,0.5
Norman Powell,4.5,9.2,2.2,2.5,1.9,13.1,2.3,1.0,0.5,0.4,0.9
Obi Toppin,4.6,7.7,1.1,1.5,1.3,11.5,3.9,1.3,0.5,0.6,0.8
Ochai Agbaji,2.6,5.7,0.3,0.4,1.2,6.8,2.5,1.0,0.6,0.5,0.7
Patrick Beverley,1.8,4.1,0.9,1.2,0.6,5.0,2.8,2.3,0.5,0.3,0.7
Patrick Williams,7.8,16.8,2.6,3.2,2.8,20.8,8.2,3.0,1.8,1.8,2.2
Pat Connaughton,4.0,9.6,0.8,1.2,2.2,11.0,7.4,4.0,1.0,0.4,1.2
Payton Pritchard,2.7,6.5,0.4,0.6,1.7,7.4,3.2,3.0,0.4,0.1,0.6
Peyton Watson,2.6,5.0,0.9,1.3,0.6,6.6,2.5,1.1,0.5,0.9,0.6
Quentin Grimes,2.2,5.7,0.1,0.2,1.6,6.1,1.4,1.1,0.7,0.0,0.4
Reggie Jackson,4.9,10.4,1.0,1.4,1.5,12.3,2.1,4.4,0.6,0.2,1.6
RJ Barrett,6.3,14.9,4.0,4.8,1.7,18.2,4.3,2.4,0.5,0.3,1.8
Robert Covington,1.5,3.4,0.8,0.9,0.7,4.4,3.3,0.8,1.3,0.6,0.4
Royce O'Neale,5.2,13.6,0.6,1.0,4.2,15.4,9.2,6.4,1.4,1.4,1.8
Sam Hauser,3.0,6.6,0.3,0.3,2.4,8.6,3.6,1.0,0.5,0.3,0.5
Simone Fontecchio,3.0,6.7,0.8,1.0,1.8,8.6,2.9,1.1,0.5,0.4,1.0
T.J. McConnell,3.2,6.1,0.8,1.1,0.0,7.3,2.5,4.7,0.9,0.1,1.2
Talen Horton-Tucker,4.1,10.0,1.6,1.9,1.3,11.0,2.6,4.3,1.0,0.4,1.8
Taurean Prince,3.6,8.3,0.6,0.8,2.2,10.1,2.8,1.8,0.9,0.5,1.0
Toumani Camara,2.6,6.4,0.9,1.3,0.8,7.0,4.8,1.0,1.0,0.5,1.1
Tre Jones,6.6,14.0,2.2,2.6,1.0,16.4,5.6,9.8,1.6,0.2,2.8
Vince Williams Jr.,3.0,8.6,2.2,2.6,2.2,10.6,10.0,3.2,1.0,1.2,1.6
