,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Marvin Bagley III,8.2,14.0,3.8,4.6,0.1,20.3,9.1,2.1,0.3,1.1,2.3
Alec Burks,6.1,16.8,5.3,6.0,3.7,21.2,4.4,2.7,0.9,0.4,1.1
Marcus Sasser,5.6,11.5,1.2,1.4,2.4,14.8,3.2,4.7,1.2,0.3,1.7
Jaden Ivey,8.8,19.2,5.9,7.7,2.3,25.8,7.0,6.2,1.5,1.1,4.1
Kevin Knox II,5.6,11.6,1.0,1.1,2.1,14.4,4.5,1.1,0.9,0.4,1.4
Ausar Thompson,7.3,15.9,2.6,3.8,0.5,17.7,14.0,4.4,1.6,2.2,3.1
James Wiseman,5.7,8.1,1.5,2.3,0.0,13.0,8.7,1.2,0.3,1.3,2.1
Killian Hayes,6.6,15.9,2.0,3.0,1.3,16.6,5.9,8.5,2.0,1.1,2.3
Stanley Umude,2.7,5.9,2.8,3.1,1.9,10.0,3.7,1.1,0.5,0.7,1.3
Moses Moody,5.9,12.5,2.6,3.4,1.9,16.5,6.4,1.7,1.4,0.6,1.5
Dario Saric,7.2,15.2,3.3,3.8,2.9,20.6,11.5,4.3,1.1,0.4,2.4
Trayce Jackson-Davis,4.7,7.3,2.2,3.7,0.0,11.6,7.8,2.0,0.7,1.4,1.6
Aaron Holiday,5.1,11.7,1.1,1.3,2.6,13.9,3.9,3.6,1.0,0.2,1.5
Jae'Sean Tate,4.2,8.4,1.1,1.6,1.1,10.7,7.1,2.2,1.5,0.4,1.0
Jeff Green,4.2,7.7,3.9,4.7,0.7,13.0,4.1,1.4,0.3,0.9,1.4
T.J. McConnell,6.5,12.5,2.1,2.8,0.1,15.1,5.4,9.5,1.7,0.2,2.2
Andrew Nembhard,6.7,13.8,0.7,1.0,1.3,15.4,3.6,7.9,1.7,0.1,3.2
Isaiah Jackson,5.9,8.8,3.0,4.2,0.0,14.9,8.8,1.9,1.2,2.6,1.3
Bruce Brown,8.7,18.8,4.1,5.0,1.9,23.4,9.2,5.7,2.1,0.5,2.5
Bennedict Mathurin,10.0,21.6,5.5,6.5,2.7,28.1,7.7,3.8,1.1,0.4,3.0
Aaron Nesmith,8.3,15.9,2.3,3.2,4.3,23.2,6.5,2.1,2.3,1.5,1.8
Obi Toppin,9.2,15.8,2.4,3.2,2.5,23.3,8.1,2.8,1.1,1.2,1.5
Jalen Smith,7.9,11.9,2.6,3.8,2.3,20.7,10.6,1.9,0.6,0.8,1.9
Terance Mann,5.3,13.1,1.7,2.3,1.3,13.7,6.6,3.7,1.5,0.7,1.3
Bones Hyland,5.6,13.9,1.3,1.6,2.7,15.2,2.0,3.6,1.1,0.0,2.7
Norman Powell,9.3,18.4,4.1,4.6,3.9,26.7,4.6,2.1,1.2,0.8,2.0
Daniel Theis,5.6,10.7,2.0,2.7,0.9,14.0,6.7,1.5,0.8,1.6,1.3
Amir Coffey,2.8,5.8,1.2,1.4,1.1,7.9,3.0,1.5,0.3,0.0,0.8
P.J. Tucker,0.8,2.5,0.4,0.4,0.7,2.7,5.7,1.1,1.2,0.4,0.5
Kobe Brown,2.0,4.9,0.1,0.2,1.0,5.1,3.2,1.3,0.5,0.3,0.4
Rui Hachimura,9.0,18.5,3.0,4.0,2.2,23.2,7.2,2.2,1.4,0.4,1.6
Cam Reddish,4.7,12.1,2.4,2.7,1.6,13.4,5.1,3.1,2.6,0.5,1.6
Jarred Vanderbilt,2.4,6.7,0.4,0.6,0.1,5.4,7.9,1.4,1.3,0.4,0.9
Christian Wood,4.9,10.5,2.5,4.0,1.5,13.9,11.1,2.1,0.3,1.3,2.5
Taurean Prince,7.0,16.5,1.2,1.5,4.3,19.5,5.8,3.7,1.8,1.0,2.0
Jaxson Hayes,2.5,3.7,1.0,1.8,0.0,5.9,3.7,0.6,0.4,0.6,1.0
Max Christie,3.8,9.6,1.1,1.4,1.4,10.1,5.8,2.0,0.9,0.5,1.6
Xavier Tillman Sr.,4.6,12.0,0.6,1.8,0.9,10.8,8.7,2.8,2.2,1.8,1.5
John Konchar,2.4,6.4,0.5,0.7,1.3,6.6,7.8,2.7,1.6,1.4,1.0
Ziaire Williams,5.2,13.2,2.2,2.6,2.2,14.8,7.1,2.6,0.9,0.6,2.4
Vince Williams Jr.,3.2,8.7,2.1,2.6,2.2,10.7,9.9,3.3,1.0,1.2,1.7
David Roddy,5.7,14.1,1.8,2.6,1.8,14.9,7.2,2.4,1.1,0.6,1.8
Luke Kennard,5.6,14.4,1.8,1.8,4.5,17.6,5.8,3.8,0.9,0.2,1.1
Santi Aldama,8.3,18.4,1.9,3.2,3.3,21.8,11.3,3.6,1.3,1.3,1.9
Bismack Biyombo,4.7,8.3,1.6,3.3,0.0,10.9,12.8,3.3,0.7,2.3,2.4
Jacob Gilyard,2.6,6.1,0.1,0.1,2.3,7.6,2.0,5.9,1.1,0.2,1.3
Jaime Jaquez Jr.,5.3,10.6,2.0,2.4,1.1,13.8,3.8,2.7,1.1,0.3,1.6
Kyle Lowry,3.1,6.7,1.1,1.3,2.0,9.4,3.6,4.1,1.2,0.3,1.4
Josh Richardson,3.6,8.2,1.3,1.4,1.5,10.0,2.6,2.9,0.6,0.3,1.0
Kevin Love,3.1,7.1,1.7,2.3,1.7,9.7,6.9,2.6,0.4,0.2,0.7
Thomas Bryant,2.1,3.8,0.9,1.1,0.0,5.1,3.6,0.6,0.3,0.3,0.8
Orlando Robinson,2.1,3.9,0.7,1.1,0.5,5.3,3.9,1.6,0.3,0.5,0.9
Jamal Cain,2.1,4.7,0.9,1.3,0.5,5.6,2.1,0.2,0.7,0.3,0.3
Nikola Jovic,2.1,4.0,0.8,1.1,1.1,6.1,4.5,1.9,0.4,0.1,0.8
Cameron Payne,2.1,4.7,0.9,0.9,1.1,6.2,1.2,2.5,0.4,0.1,0.8
MarJon Beauchamp,2.0,4.0,0.4,0.7,0.8,5.2,2.5,0.7,0.3,0.1,0.7
Pat Connaughton,1.9,4.7,0.4,0.6,1.1,5.4,3.7,1.9,0.5,0.2,0.7
Andre Jackson Jr.,1.0,1.8,0.1,0.1,0.4,2.4,1.6,0.9,0.2,0.0,0.5
Nickeil Alexander-Walker,4.7,11.3,0.8,1.2,2.7,13.0,3.4,4.8,1.8,1.2,1.9
Jaden McDaniels,8.8,16.7,1.4,1.9,2.2,21.1,4.3,2.3,1.7,1.5,2.1
Naz Reid,9.3,18.7,2.5,2.8,3.8,25.0,9.0,2.0,1.4,1.2,2.7
Kyle Anderson,5.1,11.2,2.7,4.0,0.2,13.1,7.2,7.7,1.6,1.5,3.1
Troy Brown Jr.,3.2,7.0,1.3,1.5,1.9,9.5,4.4,1.9,0.6,0.1,1.0
Shake Milton,3.6,9.2,2.6,3.1,0.9,10.6,3.0,2.9,1.0,0.2,1.8
Jordan Hawkins,6.6,17.7,2.9,3.4,4.1,20.2,5.8,2.9,0.7,0.1,1.5
Jeremiah Robinson-Earl,3.3,6.1,0.9,0.9,1.0,8.4,5.7,1.3,0.6,0.1,1.0
Larry Nance Jr.,3.8,6.9,1.0,1.6,0.7,9.2,10.2,1.7,1.9,0.7,1.9
Dyson Daniels,4.5,10.9,1.6,2.3,1.4,12.0,7.7,5.1,2.7,0.7,1.9
Naji Marshall,5.3,12.0,3.0,3.8,2.0,15.6,7.7,4.5,1.4,0.5,2.2
Jose Alvarado,5.0,11.9,1.4,2.4,2.7,14.2,5.0,3.8,2.2,0.9,1.8
Quentin Grimes,4.5,11.5,0.3,0.5,3.3,12.6,2.9,2.1,1.3,0.1,0.8
Precious Achiuwa,5.9,12.9,1.8,3.1,1.0,14.6,10.5,3.3,1.2,1.0,2.1
Josh Hart,5.8,12.9,1.2,1.6,1.9,14.8,12.1,5.5,1.7,0.4,2.2
Malachi Flynn,3.6,8.8,1.1,1.4,1.8,10.1,4.2,4.7,1.2,0.4,2.1
Luguentz Dort,3.7,8.2,1.8,2.2,1.8,11.1,4.1,1.4,0.8,0.9,0.8
Cason Wallace,2.7,5.0,0.5,0.6,1.1,6.9,2.1,1.5,0.6,0.4,0.5
Isaiah Joe,3.1,6.9,0.8,1.0,2.2,9.3,2.2,1.0,0.7,0.3,0.6
Kenrich Williams,1.9,3.9,0.1,0.5,0.9,4.9,2.7,1.7,0.5,0.1,0.2
Aaron Wiggins,1.9,3.3,0.6,0.9,0.5,5.0,2.4,0.8,0.4,0.1,0.5
Jaylin Williams,1.2,3.1,0.5,0.5,0.7,3.6,3.3,1.4,0.4,0.2,0.4
Ousmane Dieng,1.5,3.3,0.6,0.7,0.8,4.3,1.6,0.9,0.1,0.0,0.3
Moritz Wagner,8.5,14.3,3.8,4.8,1.0,21.8,8.7,2.4,0.9,0.6,2.6
Wendell Carter Jr.,5.7,13.4,2.8,4.0,2.0,16.2,12.8,3.7,0.6,1.1,2.5
Goga Bitadze,5.9,9.6,2.8,4.0,0.1,14.7,12.1,3.3,1.4,3.4,1.7
Cole Anthony,9.5,21.3,6.5,7.8,2.7,28.2,8.8,7.0,1.5,0.9,3.6
Anthony Black,4.2,8.2,1.4,2.2,1.1,10.8,5.3,3.6,1.2,0.8,2.1
Caleb Houstan,2.4,5.8,0.9,0.9,2.2,7.8,3.3,0.8,0.6,0.1,0.6
Gary Harris,4.9,11.4,1.8,2.3,2.7,14.2,3.4,3.7,1.7,0.4,1.0
Patrick Beverley,3.5,7.9,1.7,2.2,1.2,9.9,5.5,4.5,1.0,0.6,1.4
Paul Reed,4.6,8.2,1.2,1.6,0.4,10.8,8.9,2.5,1.4,1.3,1.8
Mo Bamba,2.9,5.1,1.2,1.6,0.8,7.8,5.7,0.9,0.5,1.1,1.2
Nicolas Batum,4.1,7.6,0.7,1.1,2.7,11.6,7.2,4.3,1.1,1.3,1.0
Marcus Morris Sr.,4.5,9.6,1.2,1.5,1.8,12.0,5.2,1.5,0.7,0.6,0.7
Jaden Springer,2.4,6.2,1.2,1.6,0.5,6.5,2.8,1.9,1.1,0.8,1.8
Robert Covington,3.0,6.8,1.5,1.8,1.3,8.8,6.7,1.7,2.7,1.2,0.8
Drew Eubanks,4.7,7.9,2.1,2.7,0.1,11.6,8.3,2.1,0.7,1.9,2.3
Eric Gordon,10.1,21.8,1.5,2.0,5.4,27.1,4.2,4.9,1.9,1.1,2.7
Yuta Watanabe,2.7,7.9,0.8,1.2,2.1,8.4,3.7,0.9,0.6,0.6,1.3
Keita Bates-Diop,3.6,8.9,2.1,2.8,1.0,10.2,5.9,1.9,1.2,1.2,0.5
Jordan Goodwin,4.2,11.4,1.5,1.7,1.5,11.4,7.4,4.8,1.3,0.5,1.7
Josh Okogie,3.4,8.7,3.4,4.6,1.1,11.4,6.2,2.5,1.6,1.0,1.5
Chimezie Metu,4.2,8.4,2.2,2.5,1.2,11.8,6.5,1.1,1.1,0.4,1.6
Jabari Walker,5.8,11.9,3.6,4.7,1.0,16.1,10.9,1.6,1.4,0.8,1.8
Matisse Thybulle,4.3,9.9,0.5,0.7,3.1,12.2,4.4,2.2,3.3,1.8,1.2
Duop Reath,5.8,13.1,2.3,2.5,2.7,16.6,6.1,2.0,1.1,0.7,1.4
Skylar Mays,5.0,13.1,1.2,1.6,1.3,12.7,3.5,7.1,1.3,0.3,1.7
Toumani Camara,5.3,12.9,1.9,2.8,1.7,14.2,9.7,1.9,2.1,1.0,2.2
Kris Murray,2.0,5.4,0.4,0.6,0.9,5.3,3.3,1.2,1.4,0.4,0.2
Trey Lyles,5.1,10.8,1.5,2.4,3.0,14.7,9.9,2.6,0.2,0.8,1.4
Malik Monk,10.0,22.3,4.5,5.1,5.4,29.9,5.2,10.5,1.2,1.2,4.3
Kevin Huerter,7.4,17.8,1.4,1.7,3.6,19.9,7.5,4.9,1.2,0.6,1.2
JaVale McGee,4.0,5.9,1.1,2.1,0.0,9.1,5.7,0.9,0.5,1.2,2.0
Harrison Barnes,7.6,15.7,4.0,4.8,3.5,22.6,6.0,2.6,1.5,0.4,1.5
Chris Duarte,2.7,7.5,1.1,1.3,1.3,7.8,3.9,1.9,1.2,0.1,1.2
Sasha Vezenkov,3.9,9.2,0.4,0.6,2.1,10.4,5.2,1.0,1.0,0.4,0.7
Keon Ellis,2.5,6.2,1.0,1.5,1.8,7.8,2.8,2.9,1.1,1.0,1.1
Malaki Branham,3.7,8.4,0.6,0.6,1.0,8.9,2.2,2.5,0.4,0.1,1.3
Sandro Mamukelashvili,0.9,2.4,0.5,0.6,0.4,2.8,1.9,1.3,0.2,0.3,0.4
Cedi Osman,2.8,6.1,0.7,1.1,1.2,7.5,2.4,1.9,0.4,0.1,0.6
Doug McDermott,2.0,4.6,0.3,0.4,1.6,5.9,1.0,1.4,0.3,0.1,0.5
Gary Trent Jr.,8.2,20.5,1.8,2.8,4.3,22.5,4.6,3.3,1.7,0.2,1.3
RJ Barrett,12.5,29.4,7.9,9.6,3.3,36.2,9.1,4.8,0.9,0.6,3.9
Otto Porter Jr.,1.9,4.4,0.4,0.4,1.1,5.2,3.9,1.1,0.7,0.7,0.3
Chris Boucher,4.0,8.6,2.7,3.6,1.3,12.0,7.4,0.7,0.6,1.0,0.8
Kris Dunn,4.3,9.4,0.8,1.2,1.0,10.4,5.3,7.7,1.3,0.5,2.4
Ochai Agbaji,5.1,11.2,0.6,0.8,2.3,13.1,4.9,2.1,1.3,1.0,1.4
Keyonte George,6.8,19.0,4.7,6.0,3.4,21.8,5.9,9.4,1.0,0.2,4.3
Talen Horton-Tucker,8.2,19.9,3.1,3.8,2.6,22.1,5.2,8.7,2.1,0.8,3.5
John Collins,10.4,21.8,3.8,4.9,2.8,27.4,15.6,1.6,1.2,1.7,3.0
Omer Yurtseven,3.5,6.9,0.6,0.8,0.3,7.9,8.8,1.3,0.4,1.0,1.9
Taylor Hendricks,3.8,10.0,1.1,1.5,1.8,10.5,5.1,0.9,1.5,1.1,1.5
Delon Wright,2.7,7.2,2.8,3.2,0.8,9.0,4.8,7.3,2.8,0.5,1.5
Bilal Coulibaly,6.2,12.7,2.2,3.4,2.2,16.9,8.2,3.6,1.9,1.4,2.9
Deni Avdija,8.8,18.1,3.5,4.7,1.9,23.0,11.9,7.7,1.8,0.7,3.0
Danilo Gallinari,4.4,10.1,3.6,4.3,1.5,13.9,5.8,2.4,0.5,0.2,0.9
Mike Muscala,3.1,7.8,1.4,1.8,1.4,9.0,5.8,2.2,0.4,0.7,1.2
Landry Shamet,5.6,12.4,0.7,1.3,2.7,14.6,2.6,2.9,1.1,0.4,1.1
Corey Kispert,8.1,17.2,3.1,4.2,4.0,23.3,4.2,2.9,0.7,0.3,1.8
Jared Butler,3.2,6.0,1.6,2.0,1.1,9.1,1.5,3.6,1.1,0.1,1.3
Eugene Omoruyi,3.4,5.8,1.6,2.2,0.6,9.1,3.1,1.2,0.9,0.1,1.1
