,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Al Horford,2.9,6.0,0.4,0.4,1.4,7.5,7.0,2.9,0.4,1.0,0.9
Ausar Thompson,7.4,16.2,2.6,3.8,0.6,18.2,14.2,4.4,1.6,2.2,3.2
Ayo Dosunmu,6.0,13.0,1.6,2.2,1.8,15.6,4.8,3.8,1.6,0.6,1.6
Bennedict Mathurin,10.0,21.8,5.6,6.6,2.6,28.0,7.8,3.8,1.2,0.4,3.0
Bilal Coulibaly,6.4,12.4,2.2,3.4,2.2,17.0,8.2,3.6,1.8,1.2,3.0
Caris LeVert,11.6,27.6,5.0,6.6,3.6,32.0,6.8,7.8,2.0,0.8,2.8
Cole Anthony,9.6,21.6,6.6,8.0,2.6,28.6,8.8,7.0,1.6,0.8,3.6
Dario Saric,7.2,15.6,3.4,4.0,3.0,21.0,11.6,4.2,1.2,0.4,2.4
Deni Avdija,8.8,18.0,3.6,4.8,1.8,23.2,11.8,7.6,1.8,0.6,3.0
Duncan Robinson,10.0,21.0,3.0,3.4,6.2,29.2,5.6,6.2,1.0,0.4,2.4
Dyson Daniels,4.6,11.0,1.4,2.2,1.4,11.8,7.8,5.2,2.6,0.6,2.0
Eric Gordon,10.2,21.8,1.4,1.8,5.4,27.0,4.0,5.0,2.0,1.2,2.6
Gary Harris,4.8,11.4,2.0,2.4,2.6,14.4,3.4,3.8,1.8,0.4,1.0
Gary Trent Jr.,8.4,20.8,1.8,2.8,4.4,23.0,4.8,3.4,1.6,0.2,1.2
Georges Niang,6.2,15.2,0.8,1.0,3.0,16.2,7.0,2.4,0.6,0.4,1.8
Isaac Okoro,6.2,12.6,3.2,4.6,1.8,17.6,6.8,4.2,1.8,1.0,1.6
Jabari Walker,5.8,12.0,3.6,4.6,1.0,16.4,11.0,1.4,1.4,0.8,1.8
Jaden McDaniels,8.8,16.6,1.4,2.0,2.2,21.0,4.4,2.2,1.6,1.4,2.0
Jaime Jaquez Jr.,10.6,21.0,4.2,5.0,2.2,27.4,7.8,5.2,2.2,0.6,3.2
Jeremy Sochan,4.2,9.8,1.5,2.0,0.9,10.8,5.6,4.1,0.6,0.3,2.1
John Collins,10.2,21.6,3.8,5.0,2.8,27.2,15.8,1.4,1.2,1.8,3.0
Jordan Hawkins,6.8,17.8,3.0,3.4,4.2,20.8,6.2,3.0,0.8,0.0,1.6
